"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_TranscriptID","Cvirginica_GeneID","Cvirginica_Protein_name","Annotation_GO_ID","Cvirginica_length","Airradians_TranscriptID"
"1","crg:105331412","Day14","blue","crg04980","Cobalamin transport and metabolism - Magallana gigas (Pacific oyster)",13,4,"105331412",0.307692307692308,0.000621133292869412,3.206815191859,0.0120957535979833,"XM_022461997.1","LOC111120938"," methylmalonic aciduria and homocystinuria type C protein homolog","",267,"evm.model.Contig555.3"
"2","crg:105340456","Day14","blue","crg04980","Cobalamin transport and metabolism - Magallana gigas (Pacific oyster)",13,4,"105340456",0.307692307692308,0.000621133292869412,3.206815191859,0.0120957535979833,"XM_022449012.1","LOC111111843"," methylmalonic aciduria and homocystinuria type D homolog, mitochondrial-like","GO:0044281;GO:0051186",316,"evm.model.Contig228.108"
"3","crg:105317595","Day14","blue","crg04980","Cobalamin transport and metabolism - Magallana gigas (Pacific oyster)",13,4,"105317595",0.307692307692308,0.000621133292869412,3.206815191859,0.0120957535979833,"XM_022470849.1","LOC111126313"," methylmalonic aciduria type A protein, mitochondrial-like","GO:0003924;GO:0043167",418,"evm.model.Contig224.49"
"4","crg:105333993","Day14","blue","crg04980","Cobalamin transport and metabolism - Magallana gigas (Pacific oyster)",13,4,"105333993",0.307692307692308,0.000621133292869412,3.206815191859,0.0120957535979833,"XM_022457603.1","LOC111118247"," peroxiredoxin-like","GO:0016491;GO:0042592",224,"evm.model.Contig80.266"
"5","crg:105331412","Day14","blue","crg04980","Cobalamin transport and metabolism - Magallana gigas (Pacific oyster)",13,4,"105331412",0.307692307692308,0.000621133292869412,3.206815191859,0.0120957535979833,"XR_002636826.1","LOC111115434"," uncharacterized","",691,"evm.model.Contig951.17"
"6","crg:105343349","Day14","blue","crg00190","Oxidative phosphorylation - Magallana gigas (Pacific oyster)",84,22,"105343349",0.261904761904762,7.50081175277196e-15,14.124891733852,2.92136878792171e-13,"XM_022456845.1","LOC111117675"," ATP synthase subunit delta, mitochondrial-like","GO:0005622;GO:0009058;GO:0016887;GO:0022857;GO:0032991;GO:0034641;GO:0044281",170,"evm.model.Contig720.25"
"7","crg:105341417","Day14","blue","crg00190","Oxidative phosphorylation - Magallana gigas (Pacific oyster)",84,22,"105341417",0.261904761904762,7.50081175277196e-15,14.124891733852,2.92136878792171e-13,"XM_022475803.1","LOC111129428"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-like","",170,"evm.model.Contig1411.11"
"8","crg:105344651","Day14","blue","crg00190","Oxidative phosphorylation - Magallana gigas (Pacific oyster)",84,22,"105344651",0.261904761904762,7.50081175277196e-15,14.124891733852,2.92136878792171e-13,"XM_022432899.1","LOC111100768"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial-like","GO:0003674",394,"evm.model.Contig140.112"
"9","crg:105333576","Day14","blue","crg00190","Oxidative phosphorylation - Magallana gigas (Pacific oyster)",84,22,"105333576",0.261904761904762,7.50081175277196e-15,14.124891733852,2.92136878792171e-13,"XM_022460791.1","LOC111120110"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-like","",175,"evm.model.Contig81.83"
"10","crg:105341238","Day14","blue","crg00190","Oxidative phosphorylation - Magallana gigas (Pacific oyster)",84,22,"105341238",0.261904761904762,7.50081175277196e-15,14.124891733852,2.92136878792171e-13,"XM_022462820.1","LOC111121515"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7-like","GO:0005739;GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085",128,"evm.model.Contig420.30"
