"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_TranscriptID","Cvirginica_GeneID","Cvirginica_Protein_name","Annotation_GO_ID","Cvirginica_length","Cvirginica_KEGGID","Airradians_TranscriptID"
"1","crg:105327930","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105327930",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022469924.1","LOC111125796"," 28S ribosomal protein S2, mitochondrial-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",322,"cvn:111125796","rna-XM_069264907.1"
"2","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473013.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769",NA
"3","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473012.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769",NA
"4","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473010.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769","rna-XM_069282703.1"
"5","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473010.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769","rna-XM_069282701.1"
"6","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473011.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769",NA
"7","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473010.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769","rna-XM_069282700.1"
"8","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473010.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769","rna-XM_069282704.1"
"9","crg:105317708","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105317708",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022473010.1","LOC111127769"," 30S ribosomal protein S11-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",188,"cvn:111127769","rna-XM_069282702.1"
"10","crg:105341412","Day14","red","crg03010","Ribosome - Magallana gigas (Pacific oyster)",106,56,"105341412",0.528301886792453,5.07311720112981e-66,65.2947251043264,2.38436508453101e-64,"XM_022489154.1","LOC111137591"," 40S ribosomal protein S10-like","",161,"cvn:111137591",NA
