"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_TranscriptID","Cvirginica_GeneID","Cvirginica_Protein_name","Annotation_GO_ID","Cvirginica_length","Cvirginica_KEGGID","Airradians_TranscriptID"
"1","crg:105318496","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105318496",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022459297.1","LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like","GO:0005975;GO:0006091;GO:0006790;GO:0009056;GO:0009058;GO:0016874;GO:0034641;GO:0043167;GO:0044281;GO:0051186",683,"cvn:111119284","rna-XM_069272005.1"
"2","crg:105318496","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105318496",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022459297.1","LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like","GO:0005975;GO:0006091;GO:0006790;GO:0009056;GO:0009058;GO:0016874;GO:0034641;GO:0043167;GO:0044281;GO:0051186",683,"cvn:111119284","rna-XM_069272629.1"
"3","crg:105333231","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105333231",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022441052.1","LOC111106392"," aminomethyltransferase, mitochondrial-like","GO:0006520;GO:0008168;GO:0009056",404,"cvn:111106392","rna-XM_069286506.1"
"4","crg:105333231","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105333231",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022445565.1","LOC111109454"," aminomethyltransferase, mitochondrial-like","GO:0006520;GO:0008168;GO:0009056",404,"cvn:111109454",NA
"5","crg:105322265","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105322265",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022466657.1","LOC111123929"," glutamine synthetase-like","GO:0006520;GO:0009058;GO:0016874;GO:0071554",361,"cvn:111123929","rna-XM_069263435.1"
"6","crg:105322265","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105322265",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022471177.1","LOC111126492"," glutamine synthetase-like","GO:0006520;GO:0009058;GO:0016874;GO:0071554",361,"cvn:111126492","rna-XM_069263433.1"
"7","crg:105323160","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105323160",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022453426.1","LOC111114899"," methylmalonyl-CoA mutase, mitochondrial-like","GO:0006520;GO:0009056;GO:0016853;GO:0043167",746,"cvn:111114899","rna-XM_069255120.1"
"8","crg:105323160","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105323160",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022453429.1","LOC111114899"," methylmalonyl-CoA mutase, mitochondrial-like","GO:0006520;GO:0009056;GO:0016853;GO:0043167",746,"cvn:111114899",NA
"9","crg:105323160","Day14","pink","crg00630","Glyoxylate and dicarboxylate metabolism - Magallana gigas (Pacific oyster)",34,4,"105323160",0.117647058823529,0.00193418670346661,2.71350160658615,0.0454703540814957,"XM_022453428.1","LOC111114899"," methylmalonyl-CoA mutase, mitochondrial-like","GO:0006520;GO:0009056;GO:0016853;GO:0043167",746,"cvn:111114899",NA
"10","crg:105333231","Day14","pink","crg00785","Lipoic acid metabolism - Magallana gigas (Pacific oyster)",16,3,"105333231",0.1875,0.00188732646281105,2.7241529706701,0.0454703540814957,"XM_022441052.1","LOC111106392"," aminomethyltransferase, mitochondrial-like","GO:0006520;GO:0008168;GO:0009056",404,"cvn:111106392","rna-XM_069286506.1"
