"initial_alias","converted_alias","name","description","namespace"
"LOC111102272","LOC111102272","LOC111102272","cytochrome P450 3A24-like","ENSG"
"LOC111102601","LOC111102601","LOC111102601","pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1-like","ENSG"
"LOC111121226","LOC111121226","LOC111121226","5-demethoxyubiquinone hydroxylase, mitochondrial-like","ENSG"
"LOC111125061","LOC111125061","LOC111125061","arachidonate 5-lipoxygenase-like, transcript variant X3","ENSG"
"LOC111126371","LOC111126371","LOC111126371","uncharacterized oxidoreductase TM_0325-like","ENSG"
"LOC111128051","LOC111128051","LOC111128051","lamin-B receptor-like","ENSG"
"LOC111129015","LOC111129015","LOC111129015","protein-cysteine N-palmitoyltransferase HHAT-like","ENSG"
"LOC111129296","LOC111129296","LOC111129296","NADH-quinone oxidoreductase subunit B 2-like","ENSG"
"LOC111130419","LOC111130419","LOC111130419","aldehyde dehydrogenase, mitochondrial-like","ENSG"
"LOC111131171","LOC111131171","LOC111131171","retinol dehydrogenase 13-like","ENSG"
"LOC111134405","LOC111134405","LOC111134405","dihydroorotate dehydrogenase (quinone), mitochondrial-like, transcript variant X1","ENSG"
"LOC111136468","LOC111136468","LOC111136468","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like","ENSG"
"LOC111138280","LOC111138280","LOC111138280","probable deferrochelatase/peroxidase YfeX","ENSG"
"LOC111099143","LOC111099143","LOC111099143","glyceraldehyde-3-phosphate dehydrogenase-like","ENSG"
"LOC111100601","LOC111100601","LOC111100601","cytochrome P450 26A1-like","ENSG"
"LOC111102390","LOC111102390","LOC111102390","superoxide dismutase [Mn], mitochondrial-like","ENSG"
"LOC111102789","LOC111102789","LOC111102789","glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like","ENSG"
"LOC111108184","LOC111108184","LOC111108184","long-chain specific acyl-CoA dehydrogenase, mitochondrial-like","ENSG"
"LOC111108359","LOC111108359","LOC111108359","dihydrolipoyl dehydrogenase, mitochondrial-like","ENSG"
"LOC111108431","LOC111108431","LOC111108431","prostaglandin reductase 1-like, transcript variant X2","ENSG"
"LOC111108694","LOC111108694","LOC111108694","3-hydroxyacyl-CoA dehydrogenase type-2-like","ENSG"
"LOC111117553","LOC111117553","LOC111117553","DBH-like monooxygenase protein 1","ENSG"
"LOC111118247","LOC111118247","LOC111118247","peroxiredoxin-like, transcript variant X5","ENSG"
"LOC111118384","LOC111118384","LOC111118384","tryparedoxin-like","ENSG"
"LOC111118735","LOC111118735","LOC111118735","opine dehydrogenase-like","ENSG"
"LOC111119379","LOC111119379","LOC111119379","cytochrome P450 3A14-like, transcript variant X2","ENSG"
"LOC111123422","LOC111123422","LOC111123422","thioredoxin-like","ENSG"
"LOC111123913","LOC111123913","LOC111123913","prolyl 4-hydroxylase subunit alpha-1-like","ENSG"
"LOC111126079","LOC111126079","LOC111126079","3-oxoacyl-[acyl-carrier-protein] reductase FabG-like","ENSG"
"LOC111128562","LOC111128562","LOC111128562","frataxin, mitochondrial-like","ENSG"
"LOC111129097","LOC111129097","LOC111129097","peroxiredoxin-5, mitochondrial-like","ENSG"
"LOC111129319","LOC111129319","LOC111129319","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like","ENSG"
"LOC111130282","LOC111130282","LOC111130282","ubiquinone biosynthesis monooxygenase COQ6, mitochondrial-like","ENSG"
"LOC111133902","LOC111133902","LOC111133902","sorbitol dehydrogenase-like","ENSG"
"LOC111135946","LOC111135946","LOC111135946","cytochrome b-c1 complex subunit Rieske, mitochondrial-like","ENSG"
"LOC111136515","LOC111136515","LOC111136515","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial-like","ENSG"
"LOC111136547","LOC111136547","LOC111136547","cytochrome P450 3A13-like, transcript variant X2","ENSG"
"LOC111136868","LOC111136868","LOC111136868","acyl-CoA dehydrogenase family member 10-like, transcript variant X2","ENSG"
"LOC111137688","LOC111137688","LOC111137688","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like","ENSG"
"LOC111138180","LOC111138180","LOC111138180","NADH-ubiquinone oxidoreductase subunit 8-like","ENSG"
