initial_alias,converted_alias,name,description,namespace
LOC111099660,LOC111099660,LOC111099660,cytoplasmic tRNA 2-thiolation protein 1-like,ENSG
LOC111099922,LOC111099922,LOC111099922,HIV Tat-specific factor 1-like,ENSG
LOC111102380,LOC111102380,LOC111102380,40S ribosomal protein S4-like,ENSG
LOC111105897,LOC111105897,LOC111105897,"pseudouridylate synthase 7 homolog, transcript variant X1",ENSG
LOC111112585,LOC111112585,LOC111112585,"RNA-binding motif, single-stranded-interacting protein 3-like, transcript variant X12",ENSG
LOC111118126,LOC111118126,LOC111118126,40S ribosomal protein S9,ENSG
LOC111118274,LOC111118274,LOC111118274,"survival of motor neuron-related-splicing factor 30-like, transcript variant X2",ENSG
LOC111118510,LOC111118510,LOC111118510,40S ribosomal protein S20,ENSG
LOC111119040,LOC111119040,LOC111119040,40S ribosomal protein S2,ENSG
LOC111124874,LOC111124874,LOC111124874,60S ribosomal protein L19-like,ENSG
LOC111125548,LOC111125548,LOC111125548,40S ribosomal protein S5,ENSG
LOC111126078,LOC111126078,LOC111126078,40S ribosomal protein S3,ENSG
LOC111126281,LOC111126281,LOC111126281,40S ribosomal protein S18,ENSG
LOC111126614,LOC111126614,LOC111126614,60S ribosomal protein L5-like,ENSG
LOC111127354,LOC111127354,LOC111127354,60S ribosomal protein L9-like,ENSG
LOC111128580,LOC111128580,LOC111128580,40S ribosomal protein S15-like,ENSG
LOC111128721,LOC111128721,LOC111128721,"DAZ-associated protein 1-like, transcript variant X1",ENSG
LOC111129406,LOC111129406,LOC111129406,"dnaJ homolog subfamily C member 17-like, transcript variant X1",ENSG
LOC111130552,LOC111130552,LOC111130552,RNA-binding protein PNO1-like,ENSG
LOC111132305,LOC111132305,LOC111132305,uncharacterized LOC111132305,ENSG
LOC111132903,LOC111132903,LOC111132903,60S ribosomal protein L23a-like,ENSG
LOC111135345,LOC111135345,LOC111135345,60S ribosomal protein L30-like,ENSG
LOC111136230,LOC111136230,LOC111136230,60S ribosomal protein L14-like,ENSG
LOC111136425,LOC111136425,LOC111136425,60S ribosomal protein L26-like,ENSG
LOC111136468,LOC111136468,LOC111136468,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,ENSG
LOC111136666,LOC111136666,LOC111136666,"eukaryotic translation initiation factor 5A-1-like, transcript variant X3",ENSG
LOC111137770,LOC111137770,LOC111137770,"serine/arginine-rich splicing factor 7-like, transcript variant X4",ENSG
LOC111107488,LOC111107488,LOC111107488,RNA-binding protein 1-like,ENSG
LOC111108729,LOC111108729,LOC111108729,serine/arginine-rich splicing factor 7-like,ENSG
LOC111110150,LOC111110150,LOC111110150,U6 snRNA-associated Sm-like protein LSm3,ENSG
LOC111114461,LOC111114461,LOC111114461,putative methyltransferase NSUN6,ENSG
LOC111118069,LOC111118069,LOC111118069,NHP2-like protein 1,ENSG
LOC111119195,LOC111119195,LOC111119195,"heterogeneous nuclear ribonucleoprotein D-like, transcript variant X2",ENSG
LOC111120158,LOC111120158,LOC111120158,transformer-2 protein homolog alpha-like,ENSG
LOC111120664,LOC111120664,LOC111120664,la-related protein 7-like,ENSG
LOC111121238,LOC111121238,LOC111121238,RNA-binding protein with serine-rich domain 1-B-like,ENSG
LOC111122102,LOC111122102,LOC111122102,"serine/arginine-rich splicing factor 2-like, transcript variant X2",ENSG
LOC111126049,LOC111126049,LOC111126049,activator of basal transcription 1-like,ENSG
LOC111126771,LOC111126771,LOC111126771,"far upstream element-binding protein 1-like, transcript variant X2",ENSG
LOC111128900,LOC111128900,LOC111128900,U6 snRNA-associated Sm-like protein LSm6,ENSG
LOC111129496,LOC111129496,LOC111129496,small nuclear ribonucleoprotein Sm D2,ENSG
LOC111130615,LOC111130615,LOC111130615,signal recognition particle 14 kDa protein-like,ENSG
LOC111134475,LOC111134475,LOC111134475,RNA-binding protein 8A-like,ENSG
LOC111134635,LOC111134635,LOC111134635,"39S ribosomal protein L16, mitochondrial-like",ENSG
LOC111134884,LOC111134884,LOC111134884,"cytoplasmic tRNA 2-thiolation protein 2-like, transcript variant X1",ENSG
LOC111136085,LOC111136085,LOC111136085,"CCR4-NOT transcription complex subunit 4-like, transcript variant X2",ENSG
LOC111136320,LOC111136320,LOC111136320,small nuclear ribonucleoprotein G-like,ENSG
LOC111136413,LOC111136413,LOC111136413,small nuclear ribonucleoprotein Sm D3-like,ENSG
LOC111137165,LOC111137165,LOC111137165,"TAR DNA-binding protein 43-like, transcript variant X2",ENSG
LOC111137332,LOC111137332,LOC111137332,"cleavage and polyadenylation specificity factor subunit 5-like, transcript variant X1",ENSG
