initial_alias,converted_alias,name,description,namespace
LOC111099660,LOC111099660,LOC111099660,cytoplasmic tRNA 2-thiolation protein 1-like,ENSG
LOC111099922,LOC111099922,LOC111099922,HIV Tat-specific factor 1-like,ENSG
LOC111114632,LOC111114632,LOC111114632,"probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial, transcript variant X1",ENSG
LOC111118274,LOC111118274,LOC111118274,"survival of motor neuron-related-splicing factor 30-like, transcript variant X2",ENSG
LOC111125966,LOC111125966,LOC111125966,"queuine tRNA-ribosyltransferase accessory subunit 2-like, transcript variant X2",ENSG
LOC111126179,LOC111126179,LOC111126179,ubiquitin-related modifier 1-like,ENSG
LOC111126498,LOC111126498,LOC111126498,zinc finger matrin-type protein 2-like,ENSG
LOC111127437,LOC111127437,LOC111127437,60S ribosomal protein L35-like,ENSG
LOC111132207,LOC111132207,LOC111132207,peptidyl-prolyl cis-trans isomerase NIMA-interacting 4-like,ENSG
LOC111132305,LOC111132305,LOC111132305,uncharacterized LOC111132305,ENSG
LOC111133056,LOC111133056,LOC111133056,pre-mRNA-splicing factor SPF27-like,ENSG
LOC111136468,LOC111136468,LOC111136468,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,ENSG
LOC111100903,LOC111100903,LOC111100903,"U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein-like, transcript variant X1",ENSG
LOC111102640,LOC111102640,LOC111102640,putative ribonuclease,ENSG
LOC111102825,LOC111102825,LOC111102825,probable U3 small nucleolar RNA-associated protein 11,ENSG
LOC111108785,LOC111108785,LOC111108785,RNA exonuclease 4-like,ENSG
LOC111110150,LOC111110150,LOC111110150,U6 snRNA-associated Sm-like protein LSm3,ENSG
LOC111120664,LOC111120664,LOC111120664,la-related protein 7-like,ENSG
LOC111120984,LOC111120984,LOC111120984,protein mago nashi homolog 2,ENSG
LOC111121289,LOC111121289,LOC111121289,elongator complex protein 6-like,ENSG
LOC111121760,LOC111121760,LOC111121760,gem-associated protein 6-like,ENSG
LOC111123590,LOC111123590,LOC111123590,uncharacterized LOC111123590,ENSG
LOC111123693,LOC111123693,LOC111123693,"exosome complex component RRP45-like, transcript variant X1",ENSG
LOC111124912,LOC111124912,LOC111124912,exosome complex component RRP43-like,ENSG
LOC111125980,LOC111125980,LOC111125980,"U1 small nuclear ribonucleoprotein C-like, transcript variant X1",ENSG
LOC111128900,LOC111128900,LOC111128900,U6 snRNA-associated Sm-like protein LSm6,ENSG
LOC111129496,LOC111129496,LOC111129496,small nuclear ribonucleoprotein Sm D2,ENSG
LOC111133404,LOC111133404,LOC111133404,RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like,ENSG
LOC111134475,LOC111134475,LOC111134475,RNA-binding protein 8A-like,ENSG
LOC111134884,LOC111134884,LOC111134884,"cytoplasmic tRNA 2-thiolation protein 2-like, transcript variant X1",ENSG
LOC111136320,LOC111136320,LOC111136320,small nuclear ribonucleoprotein G-like,ENSG
LOC111136413,LOC111136413,LOC111136413,small nuclear ribonucleoprotein Sm D3-like,ENSG
LOC111137332,LOC111137332,LOC111137332,"cleavage and polyadenylation specificity factor subunit 5-like, transcript variant X1",ENSG
LOC111138173,LOC111138173,LOC111138173,ribosomal RNA small subunit methyltransferase NEP1-like,ENSG
LOC111138463,LOC111138463,LOC111138463,"thioredoxin-like protein 4A, transcript variant X3",ENSG
