"initial_alias","converted_alias","name","description","namespace"
"LOC111136602","LOC111136602","LOC111136602","core-binding factor subunit beta-like, transcript variant X1","ENSG"
"LOC111119625","LOC111119625","LOC111119625","DNA-binding protein RFX2-like","ENSG"
"LOC111108274","LOC111108274","LOC111108274","ETS domain-containing protein Elk-3-like, transcript variant X4","ENSG"
"LOC111126911","LOC111126911","LOC111126911","ETS translocation variant 5-like","ENSG"
"LOC111122589","LOC111122589","LOC111122589","ETV5-related protein Ets96B-like, transcript variant X1","ENSG"
"LOC111138458","LOC111138458","LOC111138458","hepatic leukemia factor-like","ENSG"
"LOC111137553","LOC111137553","LOC111137553","hepatocyte nuclear factor 4-gamma-like, transcript variant X2","ENSG"
"LOC111132203","LOC111132203","LOC111132203","homeobox protein caupolican-like","ENSG"
"LOC111129405","LOC111129405","LOC111129405","homeobox protein six1-like, transcript variant X2","ENSG"
"LOC111100610","LOC111100610","LOC111100610","mediator of RNA polymerase II transcription subunit 4-like","ENSG"
"LOC111135975","LOC111135975","LOC111135975","nuclear factor of activated T-cells 5-like, transcript variant X2","ENSG"
"LOC111135564","LOC111135564","LOC111135564","nuclear receptor subfamily 1 group D member 2-like, transcript variant X1","ENSG"
"LOC111113134","LOC111113134","LOC111113134","paired amphipathic helix protein Sin3a-like, transcript variant X1","ENSG"
"LOC111129175","LOC111129175","LOC111129175","perilipin-2-like, transcript variant X3","ENSG"
"LOC111103835","LOC111103835","LOC111103835","PR domain zinc finger protein 1-like, transcript variant X4","ENSG"
"LOC111134536","LOC111134536","LOC111134536","protein CREBRF homolog, transcript variant X2","ENSG"
"LOC111106318","LOC111106318","LOC111106318","protein UXT-like","ENSG"
"LOC111130067","LOC111130067","LOC111130067","putative transcription factor p65 homolog","ENSG"
"LOC111124564","LOC111124564","LOC111124564","retinoic acid receptor RXR-alpha-B-like","ENSG"
"LOC111110225","LOC111110225","LOC111110225","SAM pointed domain-containing Ets transcription factor-like","ENSG"
"LOC111136216","LOC111136216","LOC111136216","T-box transcription factor TBX20-like","ENSG"
"LOC111137803","LOC111137803","LOC111137803","T-box transcription factor TBX20-like","ENSG"
"LOC111134887","LOC111134887","LOC111134887","transcription factor ETV7-like, transcript variant X5","ENSG"
"LOC111119599","LOC111119599","LOC111119599","transcription factor MafK-like","ENSG"
"LOC111129329","LOC111129329","LOC111129329","uncharacterized LOC111129329","ENSG"
"LOC111119651","LOC111119651","LOC111119651","uncharacterized LOC111119651","ENSG"
"LOC111136321","LOC111136321","LOC111136321","uncharacterized LOC111136321","ENSG"
