"initial_alias","converted_alias","name","description","namespace"
"LOC111100522","LOC111100522","LOC111100522","catenin alpha-2-like, transcript variant X6","ENSG"
"LOC111135793","LOC111135793","LOC111135793","centrosomal protein of 70 kDa-like","ENSG"
"LOC111128800","LOC111128800","LOC111128800","FERM domain-containing protein 5-like, transcript variant X2","ENSG"
"LOC111137702","LOC111137702","LOC111137702","filamin-C-like, transcript variant X5","ENSG"
"LOC111100906","LOC111100906","LOC111100906","gamma-tubulin complex component 2-like, transcript variant X2","ENSG"
"LOC111108138","LOC111108138","LOC111108138","gelsolin-like protein 2, transcript variant X5","ENSG"
"LOC111126416","LOC111126416","LOC111126416","inverted formin-2-like, transcript variant X1","ENSG"
"LOC111102596","LOC111102596","LOC111102596","kinesin-like protein KIF25","ENSG"
"LOC111129985","LOC111129985","LOC111129985","kinesin-like protein KIF28P","ENSG"
"LOC111105367","LOC111105367","LOC111105367","profilin-4-like, transcript variant X4","ENSG"
"LOC111130534","LOC111130534","LOC111130534","spectrin beta chain-like","ENSG"
"LOC111121822","LOC111121822","LOC111121822","spermatogenesis-associated protein 6-like, transcript variant X1","ENSG"
"LOC111103866","LOC111103866","LOC111103866","titin homolog","ENSG"
"LOC111125754","LOC111125754","LOC111125754","TRAF3-interacting protein 1-like","ENSG"
"LOC111100288","LOC111100288","LOC111100288","unconventional myosin-VI-like, transcript variant X5","ENSG"
"LOC111105923","LOC111105923","LOC111105923","WASH complex subunit 1-like, transcript variant X1","ENSG"
