initial_alias,converted_alias,name,description,namespace
LOC111100610,LOC111100610,LOC111100610,mediator of RNA polymerase II transcription subunit 4-like,ENSG
LOC111108274,LOC111108274,LOC111108274,"ETS domain-containing protein Elk-3-like, transcript variant X4",ENSG
LOC111110225,LOC111110225,LOC111110225,SAM pointed domain-containing Ets transcription factor-like,ENSG
LOC111110592,LOC111110592,LOC111110592,transcription initiation factor TFIID subunit 11-like,ENSG
LOC111119637,LOC111119637,LOC111119637,mediator of RNA polymerase II transcription subunit 26-like,ENSG
LOC111121660,LOC111121660,LOC111121660,DNA-binding protein inhibitor ID-2-A-like,ENSG
LOC111122589,LOC111122589,LOC111122589,"ETV5-related protein Ets96B-like, transcript variant X1",ENSG
LOC111129329,LOC111129329,LOC111129329,uncharacterized LOC111129329,ENSG
LOC111129852,LOC111129852,LOC111129852,"transcriptional repressor p66-beta-like, transcript variant X1",ENSG
LOC111130231,LOC111130231,LOC111130231,transcription initiation factor IIA subunit 1-like,ENSG
LOC111134887,LOC111134887,LOC111134887,"transcription factor ETV7-like, transcript variant X5",ENSG
LOC111138458,LOC111138458,LOC111138458,hepatic leukemia factor-like,ENSG
