"initial_alias","converted_alias","name","description","namespace"
"LOC111128383","LOC111128383","LOC111128383","CREB-regulated transcription coactivator 1-like, transcript variant X1","ENSG"
"LOC111121660","LOC111121660","LOC111121660","DNA-binding protein inhibitor ID-2-A-like","ENSG"
"LOC111119625","LOC111119625","LOC111119625","DNA-binding protein RFX2-like","ENSG"
"LOC111132777","LOC111132777","LOC111132777","DNA-directed RNA polymerase II subunit RPB4-like","ENSG"
"LOC111129014","LOC111129014","LOC111129014","DNA-directed RNA polymerase II subunit RPB9-like","ENSG"
"LOC111125826","LOC111125826","LOC111125826","DNA-directed RNA polymerase III subunit RPC9-like","ENSG"
"LOC111111195","LOC111111195","LOC111111195","ELL-associated factor 1-like","ENSG"
"LOC111108274","LOC111108274","LOC111108274","ETS domain-containing protein Elk-3-like, transcript variant X4","ENSG"
"LOC111126911","LOC111126911","LOC111126911","ETS translocation variant 5-like","ENSG"
"LOC111122589","LOC111122589","LOC111122589","ETV5-related protein Ets96B-like, transcript variant X1","ENSG"
"LOC111138458","LOC111138458","LOC111138458","hepatic leukemia factor-like","ENSG"
"LOC111137553","LOC111137553","LOC111137553","hepatocyte nuclear factor 4-gamma-like, transcript variant X2","ENSG"
"LOC111132203","LOC111132203","LOC111132203","homeobox protein caupolican-like","ENSG"
"LOC111129405","LOC111129405","LOC111129405","homeobox protein six1-like, transcript variant X2","ENSG"
"LOC111119346","LOC111119346","LOC111119346","homeobox protein TGIF2-like","ENSG"
"LOC111119637","LOC111119637","LOC111119637","mediator of RNA polymerase II transcription subunit 26-like","ENSG"
"LOC111100610","LOC111100610","LOC111100610","mediator of RNA polymerase II transcription subunit 4-like","ENSG"
"LOC111112940","LOC111112940","LOC111112940","mothers against decapentaplegic homolog 3-like, transcript variant X1","ENSG"
"LOC111137181","LOC111137181","LOC111137181","myb-binding protein 1A-like protein","ENSG"
"LOC111135975","LOC111135975","LOC111135975","nuclear factor of activated T-cells 5-like, transcript variant X2","ENSG"
"LOC111135564","LOC111135564","LOC111135564","nuclear receptor subfamily 1 group D member 2-like, transcript variant X1","ENSG"
"LOC111113134","LOC111113134","LOC111113134","paired amphipathic helix protein Sin3a-like, transcript variant X1","ENSG"
"LOC111118493","LOC111118493","LOC111118493","paired box protein Pax-2-B-like","ENSG"
"LOC111119597","LOC111119597","LOC111119597","probable global transcription activator SNF2L2","ENSG"
"LOC111134536","LOC111134536","LOC111134536","protein CREBRF homolog, transcript variant X2","ENSG"
"LOC111106318","LOC111106318","LOC111106318","protein UXT-like","ENSG"
"LOC111130067","LOC111130067","LOC111130067","putative transcription factor p65 homolog","ENSG"
"LOC111124564","LOC111124564","LOC111124564","retinoic acid receptor RXR-alpha-B-like","ENSG"
"LOC111118336","LOC111118336","LOC111118336","RNA polymerase I-specific transcription initiation factor RRN3-like","ENSG"
"LOC111110225","LOC111110225","LOC111110225","SAM pointed domain-containing Ets transcription factor-like","ENSG"
"LOC111136216","LOC111136216","LOC111136216","T-box transcription factor TBX20-like","ENSG"
"LOC111137803","LOC111137803","LOC111137803","T-box transcription factor TBX20-like","ENSG"
"LOC111130760","LOC111130760","LOC111130760","TATA box-binding protein-associated factor RNA polymerase I subunit A-like","ENSG"
"LOC111107792","LOC111107792","LOC111107792","transcription cofactor vestigial-like protein 4, transcript variant X1","ENSG"
"LOC111134887","LOC111134887","LOC111134887","transcription factor ETV7-like, transcript variant X5","ENSG"
"LOC111119599","LOC111119599","LOC111119599","transcription factor MafK-like","ENSG"
"LOC111136576","LOC111136576","LOC111136576","transcription factor Sox-2-like","ENSG"
"LOC111130231","LOC111130231","LOC111130231","transcription initiation factor IIA subunit 1-like","ENSG"
"LOC111110592","LOC111110592","LOC111110592","transcription initiation factor TFIID subunit 11-like","ENSG"
"LOC111129852","LOC111129852","LOC111129852","transcriptional repressor p66-beta-like, transcript variant X1","ENSG"
"LOC111129084","LOC111129084","LOC111129084","transducin-like enhancer protein 4","ENSG"
"LOC111138001","LOC111138001","LOC111138001","TSC22 domain family protein 1-like","ENSG"
"LOC111129329","LOC111129329","LOC111129329","uncharacterized LOC111129329","ENSG"
"LOC111119651","LOC111119651","LOC111119651","uncharacterized LOC111119651","ENSG"
"LOC111136321","LOC111136321","LOC111136321","uncharacterized LOC111136321","ENSG"
"LOC111130695","LOC111130695","LOC111130695","zinc finger MYND domain-containing protein 15-like, transcript variant X4","ENSG"
