initial_alias,converted_alias,name,description,namespace
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103560,LOC111103560,LOC111103560,"dynein heavy chain 1, axonemal-like, transcript variant X4",ENSG
LOC111103614,LOC111103614,LOC111103614,adenylate kinase 9-like,ENSG
LOC111104083,LOC111104083,LOC111104083,"alcohol dehydrogenase [acceptor]-like, transcript variant X3",ENSG
LOC111104302,LOC111104302,LOC111104302,"tyrosine-protein kinase JAK2-like, transcript variant X3",ENSG
LOC111106228,LOC111106228,LOC111106228,"ADP-ribosylation factor-like protein 6, transcript variant X1",ENSG
LOC111107462,LOC111107462,LOC111107462,"protein kinase C delta type-like, transcript variant X6",ENSG
LOC111108521,LOC111108521,LOC111108521,"guanine nucleotide-binding protein G(i) subunit alpha, transcript variant X1",ENSG
LOC111108651,LOC111108651,LOC111108651,mitogen-activated protein kinase 14A-like,ENSG
LOC111108659,LOC111108659,LOC111108659,"kinesin-like protein KIF28P, transcript variant X3",ENSG
LOC111112024,LOC111112024,LOC111112024,chromodomain-helicase-DNA-binding protein 1-like,ENSG
LOC111112993,LOC111112993,LOC111112993,tubulin alpha-1A chain,ENSG
LOC111113298,LOC111113298,LOC111113298,uncharacterized LOC111113298,ENSG
LOC111114498,LOC111114498,LOC111114498,ras-related protein Rab-18A-like,ENSG
LOC111114585,LOC111114585,LOC111114585,"serine/threonine-protein kinase Nek10-like, transcript variant X2",ENSG
LOC111115500,LOC111115500,LOC111115500,"multidrug resistance-associated protein 1-like, transcript variant X1",ENSG
LOC111119239,LOC111119239,LOC111119239,tyrosine-protein kinase Src42A-like,ENSG
LOC111119485,LOC111119485,LOC111119485,"ATPase family AAA domain-containing protein 5-like, transcript variant X1",ENSG
LOC111119696,LOC111119696,LOC111119696,"serine/threonine-protein kinase LMTK2-like, transcript variant X2",ENSG
LOC111120480,LOC111120480,LOC111120480,"prolyl 4-hydroxylase subunit alpha-1-like, transcript variant X3",ENSG
LOC111120855,LOC111120855,LOC111120855,"HBS1-like protein, transcript variant X2",ENSG
LOC111120956,LOC111120956,LOC111120956,structural maintenance of chromosomes protein 2-like,ENSG
LOC111120974,LOC111120974,LOC111120974,serine/threonine-protein kinase ICK-like,ENSG
LOC111121647,LOC111121647,LOC111121647,DNA ligase 4-like,ENSG
LOC111122076,LOC111122076,LOC111122076,pantothenate kinase 4-like,ENSG
LOC111122641,LOC111122641,LOC111122641,"rab-like protein 6, transcript variant X3",ENSG
LOC111123342,LOC111123342,LOC111123342,"adenylate kinase isoenzyme 5-like, transcript variant X2",ENSG
LOC111124684,LOC111124684,LOC111124684,"kinesin-like protein KIF28P, transcript variant X1",ENSG
LOC111124742,LOC111124742,LOC111124742,serine/threonine-protein kinase Nek7-like,ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111127901,LOC111127901,LOC111127901,kynurenine 3-monooxygenase-like,ENSG
LOC111129876,LOC111129876,LOC111129876,"rho-associated protein kinase 1-like, transcript variant X1",ENSG
LOC111130121,LOC111130121,LOC111130121,serine palmitoyltransferase 2-like,ENSG
LOC111130266,LOC111130266,LOC111130266,"RAC-gamma serine/threonine-protein kinase-like, transcript variant X1",ENSG
LOC111130627,LOC111130627,LOC111130627,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",ENSG
LOC111135167,LOC111135167,LOC111135167,"serine/threonine-protein kinase NLK-like, transcript variant X2",ENSG
LOC111135799,LOC111135799,LOC111135799,"replication factor C subunit 4-like, transcript variant X2",ENSG
LOC111135863,LOC111135863,LOC111135863,"hemocyte protein-glutamine gamma-glutamyltransferase-like, transcript variant X1",ENSG
LOC111136587,LOC111136587,LOC111136587,xanthine dehydrogenase-like,ENSG
LOC111136675,LOC111136675,LOC111136675,pachytene checkpoint protein 2 homolog,ENSG
