initial_alias,converted_alias,name,description,namespace
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103560,LOC111103560,LOC111103560,"dynein heavy chain 1, axonemal-like, transcript variant X4",ENSG
LOC111108659,LOC111108659,LOC111108659,"kinesin-like protein KIF28P, transcript variant X3",ENSG
LOC111112993,LOC111112993,LOC111112993,tubulin alpha-1A chain,ENSG
LOC111119250,LOC111119250,LOC111119250,"stathmin-like, transcript variant X1",ENSG
LOC111119859,LOC111119859,LOC111119859,"mucin-17-like, transcript variant X3",ENSG
LOC111124663,LOC111124663,LOC111124663,WD repeat-containing protein 19-like,ENSG
LOC111124684,LOC111124684,LOC111124684,"kinesin-like protein KIF28P, transcript variant X1",ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111129643,LOC111129643,LOC111129643,"katanin p80 WD40 repeat-containing subunit B1-like, transcript variant X1",ENSG
LOC111133574,LOC111133574,LOC111133574,"protein moonraker-like, transcript variant X1",ENSG
LOC111134585,LOC111134585,LOC111134585,"cilia- and flagella-associated protein 46-like, transcript variant X1",ENSG
LOC111134993,LOC111134993,LOC111134993,"transforming acidic coiled-coil-containing protein 1-like, transcript variant X2",ENSG
LOC111101168,LOC111101168,LOC111101168,"coiled-coil domain-containing protein 39-like, transcript variant X2",ENSG
LOC111112439,LOC111112439,LOC111112439,kinesin heavy chain-like,ENSG
