initial_alias,converted_alias,name,description,namespace
LOC111101069,LOC111101069,LOC111101069,"mediator of RNA polymerase II transcription subunit 14-like, transcript variant X2",ENSG
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111101605,LOC111101605,LOC111101605,putative aminopeptidase W07G4.4,ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103396,LOC111103396,LOC111103396,"trithorax group protein osa-like, transcript variant X6",ENSG
LOC111103560,LOC111103560,LOC111103560,"dynein heavy chain 1, axonemal-like, transcript variant X4",ENSG
LOC111104302,LOC111104302,LOC111104302,"tyrosine-protein kinase JAK2-like, transcript variant X3",ENSG
LOC111105859,LOC111105859,LOC111105859,protein HEXIM-like,ENSG
LOC111112993,LOC111112993,LOC111112993,tubulin alpha-1A chain,ENSG
LOC111118832,LOC111118832,LOC111118832,zinc finger protein GLIS3-like,ENSG
LOC111119097,LOC111119097,LOC111119097,"alternative oxidase, mitochondrial-like, transcript variant X1",ENSG
LOC111119126,LOC111119126,LOC111119126,uncharacterized LOC111119126,ENSG
LOC111119859,LOC111119859,LOC111119859,"mucin-17-like, transcript variant X3",ENSG
LOC111120022,LOC111120022,LOC111120022,AP-3 complex subunit delta-1-like,ENSG
LOC111120480,LOC111120480,LOC111120480,"prolyl 4-hydroxylase subunit alpha-1-like, transcript variant X3",ENSG
LOC111120888,LOC111120888,LOC111120888,replication protein A 32 kDa subunit-like,ENSG
LOC111120956,LOC111120956,LOC111120956,structural maintenance of chromosomes protein 2-like,ENSG
LOC111121590,LOC111121590,LOC111121590,"nuclear factor NF-kappa-B p105 subunit-like, transcript variant X2",ENSG
LOC111121659,LOC111121659,LOC111121659,"conserved oligomeric Golgi complex subunit 3-like, transcript variant X2",ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111126115,LOC111126115,LOC111126115,vacuolar protein sorting-associated protein 16 homolog,ENSG
LOC111127104,LOC111127104,LOC111127104,dihydropyrimidinase-like,ENSG
LOC111129084,LOC111129084,LOC111129084,transducin-like enhancer protein 4,ENSG
LOC111129467,LOC111129467,LOC111129467,anaphase-promoting complex subunit 1-like,ENSG
LOC111129643,LOC111129643,LOC111129643,"katanin p80 WD40 repeat-containing subunit B1-like, transcript variant X1",ENSG
LOC111130246,LOC111130246,LOC111130246,"AP-3 complex subunit beta-2-like, transcript variant X2",ENSG
LOC111131411,LOC111131411,LOC111131411,uncharacterized LOC111131411,ENSG
LOC111131641,LOC111131641,LOC111131641,mediator of RNA polymerase II transcription subunit 17-like,ENSG
LOC111131786,LOC111131786,LOC111131786,integrator complex subunit 14-like,ENSG
LOC111134206,LOC111134206,LOC111134206,"little elongation complex subunit 2-like, transcript variant X2",ENSG
LOC111134318,LOC111134318,LOC111134318,T-box transcription factor TBX2-B-like,ENSG
LOC111135621,LOC111135621,LOC111135621,"rotatin-like, transcript variant X1",ENSG
LOC111137900,LOC111137900,LOC111137900,"clathrin heavy chain 1, transcript variant X1",ENSG
LOC111101168,LOC111101168,LOC111101168,"coiled-coil domain-containing protein 39-like, transcript variant X2",ENSG
LOC111103429,LOC111103429,LOC111103429,cleavage stimulation factor subunit 3-like,ENSG
LOC111106044,LOC111106044,LOC111106044,"conserved oligomeric Golgi complex subunit 6-like, transcript variant X1",ENSG
LOC111117947,LOC111117947,LOC111117947,"erlin-2-B-like, transcript variant X2",ENSG
LOC111118002,LOC111118002,LOC111118002,transcription elongation factor A protein 1-like,ENSG
LOC111121838,LOC111121838,LOC111121838,ATP-binding cassette sub-family D member 3-like,ENSG
LOC111123840,LOC111123840,LOC111123840,AP-3 complex subunit mu-1-like,ENSG
LOC111128153,LOC111128153,LOC111128153,U3 small nucleolar RNA-associated protein 15 homolog,ENSG
LOC111130079,LOC111130079,LOC111130079,protein phosphatase 1 regulatory subunit 14C-like,ENSG
LOC111130537,LOC111130537,LOC111130537,N-acetylgalactosamine kinase-like,ENSG
LOC111130950,LOC111130950,LOC111130950,structure-specific endonuclease subunit slx1-like,ENSG
LOC111131693,LOC111131693,LOC111131693,DNA replication licensing factor mcm5-like,ENSG
LOC111134337,LOC111134337,LOC111134337,"V-type proton ATPase subunit H-like, transcript variant X2",ENSG
LOC111135445,LOC111135445,LOC111135445,"polyhomeotic-like protein 1, transcript variant X4",ENSG
LOC111135733,LOC111135733,LOC111135733,"alanine--tRNA ligase, cytoplasmic-like",ENSG
LOC111136484,LOC111136484,LOC111136484,"ER membrane protein complex subunit 1-like, transcript variant X2",ENSG
LOC111138513,LOC111138513,LOC111138513,probable aminopeptidase NPEPL1,ENSG
