"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","moduleColor","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"1","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like","rna-XM_069274655.1",11.3108020396661,11.4545879604404,11.3920278465923,11.3756539817766,1.012712265697,0.986028040506153,"costly activation","XM_022474913.1","brown","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like","LOC111128940","cvn:111128940"
"2","26S proteasome non-ATPase regulatory subunit 9-like","rna-XM_069265497.1",11.375956100297,11.4269143330848,11.3918916834153,11.4287738490285,1.00447946812897,0.998763650492605,"costly activation","XM_022464201.1","red","26S proteasome non-ATPase regulatory subunit 9-like","LOC111122411","cvn:111122411"
"3","28S ribosomal protein S2, mitochondrial-like","rna-XM_069264907.1",11.4469490968199,11.4806294792282,11.4731742496063,11.4857750019117,1.00294230210367,0.998161387170517,"costly activation","XM_022469924.1","red","28S ribosomal protein S2, mitochondrial-like","LOC111125796","cvn:111125796"
"4","4-hydroxyphenylpyruvate dioxygenase-like protein","rna-XM_069282859.1",11.3757837830255,11.429591916509,11.6226731632702,11.602370036772,1.00473005944116,0.993553577368814,"costly activation","XM_022483763.1","brown","4-hydroxyphenylpyruvate dioxygenase-like protein","LOC111134597","cvn:111134597"
"5","40S ribosomal protein S5","rna-XM_069265214.1",13.7075301159089,13.8920501425824,13.7533459918006,13.9088546622304,1.0134612162157,0.997874367377416,"costly activation","XM_022469477.1","red","40S ribosomal protein S5","LOC111125548","cvn:111125548"
"6","5-demethoxyubiquinone hydroxylase, mitochondrial-like","rna-XM_069269205.1",11.541941853529,11.6128518038346,11.5622110688881,11.6061106984333,1.00614367592607,0.997667473952825,"costly activation","XM_022462396.1","red","5-demethoxyubiquinone hydroxylase, mitochondrial-like","LOC111121226","cvn:111121226"
"7","5-hydroxytryptamine receptor 4-like","rna-XM_069279306.1",11.3789303389435,11.4898642513673,11.4861649351908,11.5311582147189,1.00974906332312,0.994224414861393,"costly activation","XM_022433842.1","brown","5-hydroxytryptamine receptor 4-like","LOC111101373","cvn:111101373"
"8","5-hydroxytryptamine receptor 4-like","rna-XM_069283945.1",11.2724032597239,11.349273340279,11.2329005929263,11.2354565972519,1.00681931605744,0.993452877085772,"costly activation","XM_022485359.1","brown","5-hydroxytryptamine receptor 4-like","LOC111135363","cvn:111135363"
"9","60 kDa SS-A/Ro ribonucleoprotein-like","rna-XM_069286498.1",12.3796983619302,12.501937952696,12.459224869987,12.4945438804605,1.0098741978352,0.993029399136943,"costly activation","XM_022459905.1","brown","60 kDa SS-A/Ro ribonucleoprotein-like","LOC111119592","cvn:111119592"
"10","60S acidic ribosomal protein P1-like","rna-XM_069249524.1",13.870433236413,14.0245474743482,13.8847007045293,14.0180455640011,1.0111109894917,0.998509299543939,"costly activation","XM_022453199.1","red","60S acidic ribosomal protein P1-like","LOC111114718","cvn:111114718"
"11","60S ribosomal protein L15-like","rna-XM_069275893.1",13.0094110403383,13.1909657472871,13.1635802743826,13.3332026572378,1.01395564383244,0.998944815112733,"costly activation","XM_022480126.1","red","60S ribosomal protein L15-like","LOC111132297","cvn:111132297"
"12","60S ribosomal protein L34-like","rna-XM_069268119.1",13.1767209638726,13.3863143621759,13.2176301994627,13.4211560249018,1.01590633958767,0.999499675905455,"costly activation","XM_022458872.1","red","60S ribosomal protein L34-like","LOC111119059","cvn:111119059"
"13","60S ribosomal protein L44-like","rna-XM_069274837.1",13.1821326374124,13.2583157038329,13.1578299065693,13.2138775550705,1.00577926717292,0.998489106955438,"costly activation","XM_022439983.1","red","60S ribosomal protein L44-like","LOC111105616","cvn:111105616"
"14","adhesion G-protein coupled receptor G6-like","rna-XM_069252695.1",11.7257610042643,11.8732313290648,11.75081650891,11.8383993665459,1.01257661014469,0.994940365200342,"costly activation","XM_022471263.1","brown","adhesion G-protein coupled receptor G6-like","LOC111126548","cvn:111126548"
"15","alcohol dehydrogenase-like","rna-XM_069276734.1",11.7227113000357,12.3344894656062,11.9077697571771,12.3828988566548,1.05218742916314,0.988322740058081,"costly activation","XM_022450524.1","brown","alcohol dehydrogenase-like","LOC111112758","cvn:111112758"
"16","alcohol dehydrogenase-like","rna-XM_069276735.1",12.8786542156555,13.3977236085777,13.0048564769796,13.4255695255093,1.04030462998931,0.992353996231233,"costly activation","XM_022450524.1","brown","alcohol dehydrogenase-like","LOC111112758","cvn:111112758"
"17","alpha-(1,3)-fucosyltransferase 9-like","rna-XM_069250655.1",11.2739553733058,11.4543414156925,11.4937348503329,11.4583167070641,1.01600024449394,0.981218742869775,"costly activation","XM_022439479.1","brown","alpha-(1,3)-fucosyltransferase 9-like","LOC111105280","cvn:111105280"
"18","alpha-1A adrenergic receptor-like","rna-XM_069260840.1",11.1535327028189,11.587239343103,11.4412541787065,11.2447505497454,1.03888513638145,0.946038169044565,"costly activation","XM_022478941.1","brown","alpha-1A adrenergic receptor-like","LOC111131422","cvn:111131422"
"19","amyloid beta A4 protein-like","rna-XM_069265357.1",12.2667992691875,12.3220374367153,12.3186766818248,12.3240299450376,1.00450306280519,0.995949740562912,"costly activation","XM_022487208.1","brown","amyloid beta A4 protein-like","LOC111136389","cvn:111136389"
"20","anamorsin homolog","rna-XM_069257809.1",11.4609439808774,11.6612829593254,11.5732641002262,11.7228185412979,1.01748014638081,0.995520562877004,"costly activation","XM_022485722.1","red","anamorsin homolog","LOC111135561","cvn:111135561"
"21","anaphase-promoting complex subunit 13-like","rna-XM_069259586.1",11.6012148371455,11.6568510361411,11.7020735710737,11.7135368680874,1.00479572180816,0.996202087288168,"costly activation","XM_022464279.1","red","anaphase-promoting complex subunit 13-like","LOC111122503","cvn:111122503"
"22","angio-associated migratory cell protein-like","rna-XM_069251695.1",11.4567979943329,11.5813575663694,11.4889231026982,11.5160114573201,1.01087211034865,0.991577242927012,"costly activation","XM_022464766.1","red","angio-associated migratory cell protein-like","LOC111122807","cvn:111122807"
"23","ankyrin-3-like","rna-XM_069266003.1",11.2755878234824,11.5078594089564,11.2681618795993,11.3305221685783,1.02059951011958,0.985238766500217,"costly activation","XM_022481987.1","brown","ankyrin-3-like","LOC111133522","cvn:111133522"
"24","ankyrin repeat and protein kinase domain-containing protein 1-like","rna-XM_069245113.1",12.0327175726821,12.3096548432892,12.3123028622743,12.3942266109525,1.02301535533717,0.984006551573265,"costly activation","XM_022441029.1","brown","ankyrin repeat and protein kinase domain-containing protein 1-like","LOC111106377","cvn:111106377"
"25","annexin B9-like","rna-XM_069272050.1",12.4870409457779,12.7012706627362,12.5674656233401,12.7765168570855,1.01715616356898,0.999486957396793,"costly activation","XM_022462159.1","red","annexin B9-like","LOC111121056","cvn:111121056"
"26","AP-4 complex subunit epsilon-1-like","rna-XM_069245744.1",11.5813102217591,11.6217042301475,11.57898953612,11.6161547832429,1.00348786170259,0.999722819264363,"costly activation","XM_022452756.1","brown","AP-4 complex subunit epsilon-1-like","LOC111114456","cvn:111114456"
"27","apoptogenic protein 1, mitochondrial-like","rna-XM_069260666.1",11.4514124485352,11.4626201857353,11.4679639781812,11.4599064233489,1.00097872094386,0.998320308761869,"costly activation","XM_022455409.1","brown","apoptogenic protein 1, mitochondrial-like","LOC111116418","cvn:111116418"
"28","arginase, hepatic-like","rna-XM_069262421.1",13.0722937447329,13.692742620325,13.5730668437219,13.8234205897427,1.04746289271859,0.972296869546542,"costly activation","XM_022478277.1","brown","arginase, hepatic-like","LOC111130969","cvn:111130969"
"29","ATP-dependent zinc metalloprotease FtsH-like","rna-XM_069265622.1",11.9533833622164,11.9569835189728,12.0218550118185,11.9960191650863,1.00030118307489,0.99755048145269,"costly activation","XM_022456373.1","brown","ATP-dependent zinc metalloprotease FtsH-like","LOC111117309","cvn:111117309"
"30","ATP synthase mitochondrial F1 complex assembly factor 2-like","rna-XM_069269541.1",11.4851357660406,11.5162550770228,11.488272511653,11.5043701958446,1.00270952922248,0.998695233651514,"costly activation","XM_022463007.1","brown","ATP synthase mitochondrial F1 complex assembly factor 2-like","LOC111121651","cvn:111121651"
"31","B-box type zinc finger protein ncl-1-like","rna-XM_069274344.1",12.1999765423718,12.3182310379848,12.3057996426273,12.3770772948246,1.00969301008099,0.996136637490718,"costly activation","XM_022470455.1","brown","B-box type zinc finger protein ncl-1-like","LOC111126064","cvn:111126064"
"32","beclin-1-like","rna-XM_069266143.1",11.532967225835,11.5876514283535,11.5778950944801,11.5864397706211,1.00474155535585,0.996015354434361,"costly activation","XM_022472453.1","brown","beclin-1-like","LOC111127325","cvn:111127325"
"33","beta-1,3-galactosyltransferase 1-like","rna-XM_069259009.1",11.8133174302538,11.909098291787,11.9558928325455,11.9708495655989,1.00810787165406,0.993198268478144,"costly activation","XM_022464515.1","brown","beta-1,3-galactosyltransferase 1-like","LOC111122660","cvn:111122660"
"34","beta-1,3-galactosyltransferase 1-like","rna-XM_069273629.1",11.7594036936497,11.8503127191931,11.8361782285864,11.8780034673749,1.00773075131288,0.995835123984938,"costly activation","XM_022468827.1","brown","beta-1,3-galactosyltransferase 1-like","LOC111125242","cvn:111125242"
"35","beta-1,3-galactosyltransferase 1-like","rna-XM_069273630.1",11.8418521930848,11.9203581770304,11.8898027869154,11.882402043613,1.00662953587543,0.992795780178301,"costly activation","XM_022468827.1","brown","beta-1,3-galactosyltransferase 1-like","LOC111125242","cvn:111125242"
"36","biogenesis of lysosome-related organelles complex 1 subunit 1-like","rna-XM_069254769.1",11.4274910045975,11.5079810806052,11.4689697958529,11.5179755576516,1.00704354752722,0.997248731231203,"costly activation","XM_022451379.1","brown","biogenesis of lysosome-related organelles complex 1 subunit 1-like","LOC111113266","cvn:111113266"
"37","bone morphogenetic protein 2-like","rna-XM_069260340.1",11.8502506050864,11.9280610410291,11.8942145941075,11.9649263137559,1.00656614265265,0.999382960528723,"costly activation","XM_022477988.1","brown","bone morphogenetic protein 2-like","LOC111130759","cvn:111130759"
"38","branched-chain-amino-acid aminotransferase, cytosolic-like","rna-XM_069277984.1",11.7495961112215,12.0514395686186,12.2276427712281,12.1014196151122,1.02568968792968,0.964889518392524,"costly activation","XM_022447254.1","brown","branched-chain-amino-acid aminotransferase, cytosolic-like","LOC111110658","cvn:111110658"
"39","BTB/POZ domain-containing protein 1-like","rna-XM_069245877.1",11.4272422074676,11.8939586036298,11.6105733060906,11.7723369135335,1.04084243491901,0.974145946831966,"costly activation","XM_022432160.1","brown","BTB/POZ domain-containing protein 1-like","LOC111100375","cvn:111100375"
"40","BTB/POZ domain-containing protein 6-like","rna-XM_069246726.1",11.1904130220754,11.4452010989035,11.3134773775065,11.4322092476763,1.02276842475121,0.987999535138456,"costly activation","XM_022443320.1","brown","BTB/POZ domain-containing protein 6-like","LOC111107911","cvn:111107911"
"41","calcium-binding protein P-like","rna-XM_069257663.1",11.2121160656679,11.7048656051233,11.4161985197841,11.6113787605816,1.04394795206983,0.974279204755835,"costly activation","XM_022488337.1","brown","calcium-binding protein P-like","LOC111137086","cvn:111137086"
"42","calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like","rna-XR_011209673.1",11.5624578727297,11.7211929045339,11.6901796706034,11.8330608571033,1.01372848520197,0.99851423802233,"costly activation","XM_022487468.1","red","calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like","LOC111136548","cvn:111136548"
