"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","moduleColor","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"1","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like","rna-XM_069274467.1",11.5700105723077,11.7337406428555,11.687258743376,11.667217146875,1.01415124640765,0.984355320897985,"frontloaded","XM_022437615.1","pink","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like","LOC111103958","cvn:111103958"
"2","5'-3' exoribonuclease 2-like","rna-XM_069262920.1",11.285943554582,11.3775931704325,11.3199469405692,11.3573507806471,1.00812068706593,0.9952223523585,"frontloaded","XM_022477981.1","magenta","5'-3' exoribonuclease 2-like","LOC111130755","cvn:111130755"
"3","abnormal spindle-like microcephaly-associated protein homolog","rna-XM_069259604.1",11.8865377122314,12.0305537392574,11.9622464151407,12.0208566948361,1.01211589367001,0.992870096263883,"frontloaded","XM_022470021.1","magenta","abnormal spindle-like microcephaly-associated protein homolog","LOC111125839","cvn:111125839"
"4","acetyl-coenzyme A synthetase, cytoplasmic-like","rna-XM_069272005.1",11.3988511763743,11.4871524249837,11.3966640270135,11.4841291090962,1.00774650420846,0.999928669790994,"frontloaded","XM_022459297.1","pink","acetyl-coenzyme A synthetase, cytoplasmic-like","LOC111119284","cvn:111119284"
"5","acyl-protein thioesterase 1-like","rna-XM_069272298.1",11.2464184932779,11.4904475688372,11.2608497632425,11.4473385933668,1.02169838119622,0.994971541477744,"frontloaded","XM_022461872.1","pink","acyl-protein thioesterase 1-like","LOC111120865","cvn:111120865"
"6","adenylate kinase 7-like","rna-XM_069260572.1",12.072542002966,12.1805694532612,12.0669563348567,12.1578596556525,1.00894819419711,0.99859759830057,"frontloaded","XM_022477192.1","pink","adenylate kinase 7-like","LOC111130301","cvn:111130301"
"7","adenylate kinase 7-like","rna-XM_069260574.1",12.0955542442943,12.2207425809086,12.1359337475271,12.194513923812,1.01034994627661,0.994533632319855,"frontloaded","XM_022477192.1","pink","adenylate kinase 7-like","LOC111130301","cvn:111130301"
"8","adenylate kinase 9-like","rna-XM_069285463.1",11.6604418361214,11.7961561155216,12.0189298401981,12.1312916501865,1.01163886251546,0.997736221944211,"frontloaded","XM_022437003.1","magenta","adenylate kinase 9-like","LOC111103614","cvn:111103614"
"9","adenylosuccinate synthetase-like","rna-XM_069260478.1",11.5543085188766,11.6367611697771,11.582442791936,11.5871080827514,1.00713609566214,0.99331440328192,"frontloaded","XM_022476918.1","pink","adenylosuccinate synthetase-like","LOC111130166","cvn:111130166"
"10","ADP-ribosylation factor-like protein 3","rna-XM_069264906.1",12.3347591707449,12.3786095283275,12.295664817865,12.3176866916254,1.00355502340788,0.998242252919324,"frontloaded","XM_022467166.1","pink","ADP-ribosylation factor-like protein 3","LOC111124314","cvn:111124314"
