"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like","rna-XM_069274655.1",11.3108020396661,11.4545879604404,11.3920278465923,11.3756539817766,1.012712265697,0.986028040506153,"costly activation","XM_022474913.1","LOC111128940","crg:105325831","GO:0009058;GO:0034641",182
"2"," 39S ribosomal protein L42, mitochondrial-like","rna-XM_069286575.1",11.4161279779714,11.4451640375154,11.4301655578923,11.4430882713975,1.0025434244956,0.998590739583174,"costly activation","XM_022445582.1","LOC111109464","crg:105317253","",146
"3"," 39S ribosomal protein L46, mitochondrial-like","rna-XM_069285670.1",11.4135508995478,11.4653546393632,11.4281605588876,11.4435492109318,1.00453879255206,0.996822186348887,"costly activation","XM_022444817.1","LOC111108756","crg:105329047","GO:0003735;GO:0005840;GO:0042254",292
"4"," 4-hydroxyphenylpyruvate dioxygenase-like protein","rna-XM_069282859.1",11.3757837830255,11.429591916509,11.6226731632702,11.602370036772,1.00473005944116,0.993553577368814,"costly activation","XM_022483763.1","LOC111134597","crg:105343088","GO:0006520;GO:0016491",413
"5"," 5'-AMP-activated protein kinase subunit gamma-2-like","rna-XM_069254928.1",11.7048930484521,12.053441774041,11.8278519688072,11.8736201268792,1.02977803591593,0.974840683208518,"costly activation","XM_022451375.1","LOC111113264","crg:105348277","GO:0003674;GO:0006464",647
"6"," 5-hydroxytryptamine receptor 4-like","rna-XM_069279306.1",11.3789303389435,11.4898642513673,11.4861649351908,11.5311582147189,1.00974906332312,0.994224414861393,"costly activation","XM_022433842.1","LOC111101373","crg:105328996","GO:0003674;GO:0005575;GO:0007165",303
"7"," 5-hydroxytryptamine receptor 4-like","rna-XM_069283945.1",11.2724032597239,11.349273340279,11.2329005929263,11.2354565972519,1.00681931605744,0.993452877085772,"costly activation","XM_022485359.1","LOC111135363","crg:105330597","GO:0003674;GO:0005886;GO:0007165;GO:0007267",379
"8"," 60 kDa SS-A/Ro ribonucleoprotein-like","rna-XM_069286498.1",12.3796983619302,12.501937952696,12.459224869987,12.4945438804605,1.0098741978352,0.993029399136943,"costly activation","XM_022459905.1","LOC111119592","crg:105348950","GO:0003723",577
"9"," adhesion G-protein coupled receptor G6-like","rna-XM_069252695.1",11.7257610042643,11.8732313290648,11.75081650891,11.8383993665459,1.01257661014469,0.994940365200342,"costly activation","XM_022471263.1","LOC111126548","crg:105336561","GO:0003674;GO:0005575;GO:0007165",1327
"10"," adipocyte plasma membrane-associated protein-like","rna-XM_069262077.1",11.4170331186442,11.5549386392679,11.5371946676199,11.5049697077186,1.01207892796583,0.98530543015298,"costly activation","XM_022475614.1","LOC111129320","crg:105326291","GO:0006629;GO:0009058;GO:0016829;GO:0034641",415
"11"," ADP-ribosylation factor-like protein 8A","rna-XM_069285768.1",12.232953466171,12.2699994685231,12.2761951720482,12.2934286671704,1.00302837760762,0.99838034136883,"costly activation","XM_022444018.1","LOC111108255","crg:105336396","GO:0043167",185
"12"," ADP-ribosylation factor-related protein 1-like","rna-XM_069271838.1",11.663551075811,11.697546932749,11.6691773713498,11.7023748171229,1.0029147089696,0.999930377084798,"costly activation","XM_022457952.1","LOC111118459","crg:105348051","GO:0043167",202
"13"," alcohol dehydrogenase-like","rna-XM_069276734.1",11.7227113000357,12.3344894656062,11.9077697571771,12.3828988566548,1.05218742916314,0.988322740058081,"costly activation","XM_022450524.1","LOC111112758","crg:105347952","GO:0016491",347
"14"," alcohol dehydrogenase-like","rna-XM_069276735.1",12.8786542156555,13.3977236085777,13.0048564769796,13.4255695255093,1.04030462998931,0.992353996231233,"costly activation","XM_022450524.1","LOC111112758","crg:105347952","GO:0016491",347
"15"," alpha-(1,3)-fucosyltransferase 9-like","rna-XM_069250655.1",11.2739553733058,11.4543414156925,11.4937348503329,11.4583167070641,1.01600024449394,0.981218742869775,"costly activation","XM_022439479.1","LOC111105280","crg:109619336","GO:0005575;GO:0006464;GO:0009058;GO:0016757",390
"16"," alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like","rna-XM_069275788.1",11.243066114113,11.6032249310818,11.418160470412,11.5944360035336,1.03203386098715,0.983919434306868,"costly activation","XM_022489837.1","LOC111138032","crg:105342679","",498
"17"," alpha-1A adrenergic receptor-like","rna-XM_069260840.1",11.1535327028189,11.587239343103,11.4412541787065,11.2447505497454,1.03888513638145,0.946038169044565,"costly activation","XM_022478941.1","LOC111131422","crg:105318459","GO:0003674;GO:0005575;GO:0007165",380
"18"," alpha-crystallin A chain-like","rna-XM_069276414.1",11.5114909500077,11.5962172776378,11.57207924126,11.6168608413275,1.00736015239017,0.996535146677433,"costly activation","XM_022441907.1","LOC111106983","crg:105343274","",206
