"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase-like","rna-XM_069274655.1",11.3108020396661,11.4545879604404,11.3920278465923,11.3756539817766,1.012712265697,0.986028040506153,"costly activation","XM_022474913.1","LOC111128940","crg:105325831","GO:0009058;GO:0034641",182
"2"," 26S proteasome non-ATPase regulatory subunit 9-like","rna-XM_069265497.1",11.375956100297,11.4269143330848,11.3918916834153,11.4287738490285,1.00447946812897,0.998763650492605,"costly activation","XM_022464201.1","LOC111122411","crg:105345336","GO:0003674;GO:0065003",202
"3"," 28S ribosomal protein S2, mitochondrial-like","rna-XM_069264907.1",11.4469490968199,11.4806294792282,11.4731742496063,11.4857750019117,1.00294230210367,0.998161387170517,"costly activation","XM_022469924.1","LOC111125796","crg:105327930","GO:0003735;GO:0005840;GO:0006412;GO:0042254",322
"4"," 39S ribosomal protein L42, mitochondrial-like","rna-XM_069286575.1",11.4161279779714,11.4451640375154,11.4301655578923,11.4430882713975,1.0025434244956,0.998590739583174,"costly activation","XM_022445582.1","LOC111109464","crg:105317253","",146
"5"," 39S ribosomal protein L45, mitochondrial-like","rna-XM_069264259.1",11.1534497967399,11.2531876983263,11.3379710369855,11.3328342671161,1.008942336533,0.990687876603888,"costly activation","XM_022459618.1","LOC111119427","crg:105328803","",364
"6"," 39S ribosomal protein L46, mitochondrial-like","rna-XM_069285670.1",11.4135508995478,11.4653546393632,11.4281605588876,11.4435492109318,1.00453879255206,0.996822186348887,"costly activation","XM_022444817.1","LOC111108756","crg:105329047","GO:0003735;GO:0005840;GO:0042254",292
"7"," 4-hydroxyphenylpyruvate dioxygenase-like protein","rna-XM_069282859.1",11.3757837830255,11.429591916509,11.6226731632702,11.602370036772,1.00473005944116,0.993553577368814,"costly activation","XM_022483763.1","LOC111134597","crg:105343088","GO:0006520;GO:0016491",413
"8"," 40S ribosomal protein S5","rna-XM_069265214.1",13.7075301159089,13.8920501425824,13.7533459918006,13.9088546622304,1.0134612162157,0.997874367377416,"costly activation","XM_022469477.1","LOC111125548","crg:105347828","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254",204
"9"," 5'-3' exoribonuclease 2-like","rna-XM_069262431.1",11.6641465117661,11.7062502222977,11.7045014895142,11.6546132620084,1.00360966921061,0.992156332658102,"costly activation","XM_022477725.1","LOC111130565","crg:105345357","GO:0004518;GO:0005634;GO:0043167",987
"10"," 5'-AMP-activated protein kinase subunit gamma-2-like","rna-XM_069254928.1",11.7048930484521,12.053441774041,11.8278519688072,11.8736201268792,1.02977803591593,0.974840683208518,"costly activation","XM_022451375.1","LOC111113264","crg:105348277","GO:0003674;GO:0006464",647
