"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-phosphoxylose phosphatase 1-like","evm.model.Contig53.211",10.0095192559642,10.0596958180938,9.98769188082319,10.0911231338048,1.00501288432007,1.00531633692604,"threshold likely","XM_022489528.1","LOC111137836","crg:105343356","",245
"2"," 60 kDa SS-A/Ro ribonucleoprotein-like","evm.model.Contig74.231",10.0959126030599,10.1275592725533,10.0463586926081,10.1531685847393,1.00313460216402,1.00747367287728,"threshold likely","XM_022462633.1","LOC111121372","crg:105341098","GO:0003723",586
"3"," adenosine monophosphate-protein transferase FICD-like","evm.model.Contig438.33",10.3808461819585,10.3896520577116,10.2715233196008,10.3456958568144,1.000848281113,1.00636749925373,"threshold likely","XM_022450026.1","LOC111112503","crg:105322738","GO:0003674",451
"4"," adipocyte plasma membrane-associated protein-like","evm.model.Contig627.35",9.86364080623543,10.1605273936634,9.99037841922077,10.3410866037304,1.03009908747288,1.00485924821042,"threshold likely","XM_022447152.1","LOC111110588","crg:105323841","GO:0006629;GO:0009058;GO:0016829;GO:0034641",399
"5"," ADP-ribosylation factor-like protein 4C","evm.model.Contig412.38",10.6894735746084,10.8875083359891,10.8563082924955,11.0817839665007,1.01852614724182,1.00220214820071,"threshold likely","XM_022463474.1","LOC111121974","crg:105322544","GO:0043167",182
"6"," akirin-2-like","evm.model.Contig414.20.1",11.1294483404587,11.1968575739313,11.1557397834993,11.2233398712278,1.00605683511083,1.00000281657777,"threshold likely","XM_022438878.1","LOC111104765","crg:105337046","",189
"7"," aldehyde dehydrogenase, mitochondrial-like","evm.model.Contig424.64",13.3931031651455,13.6599798394677,13.2755486908763,13.9968341721969,1.01992642564097,1.03373326810689,"threshold likely","XM_022477492.1","LOC111130419","crg:105344389","GO:0016491",519
"8"," allantoinase, mitochondrial-like","evm.model.Contig992.7",10.6047810755061,11.4677879117308,10.6633842881599,11.6778168905852,1.08137903367171,1.01271829467952,"threshold likely","XM_022485340.1","LOC111135359","crg:105330147","GO:0009056;GO:0016810;GO:0034641;GO:0043167;GO:0044281",458
"9"," alpha-L-fucosidase-like","evm.model.Contig291.4",11.3896718195841,11.532995168419,11.155904920648,11.5353326784454,1.01258362410306,1.02116147115213,"threshold likely","XM_022459620.1","LOC111119431","crg:105322568","GO:0005975;GO:0016798;GO:0044281",462
"10"," ammonium transporter Rh type A-like","evm.model.Contig649.39",11.6745253190783,12.0246051882971,11.5847241649604,12.2859983744531,1.02998664696428,1.02965838734546,"threshold likely","XM_022471483.1","LOC111126679","crg:105335432","GO:0005575;GO:0022857",464
"11"," ankyrin repeat domain-containing protein 66-like","evm.model.Contig443.15",10.2312344600005,10.2687937215666,10.2533115838073,10.3494724766143,1.00367103908261,1.00568660565848,"threshold likely","XM_022462408.1","LOC111121236","crg:105339295","GO:0003674",152
"12"," anti-apoptotic protein NR13-like","evm.model.Contig408.44",12.4308346092993,12.7538780831805,12.6456888743134,12.9764241338872,1.02598727149338,1.00016249870935,"threshold likely","XM_022478791.1","LOC111131320","crg:105335025","GO:0008219",226
"13"," AP-4 complex subunit mu-like","evm.model.Contig79.94",10.2503834625818,10.3370696582939,10.2095995894039,10.3410234021743,1.00845687344562,1.00437866938371,"threshold likely","XM_022477098.1","LOC111130268","crg:105336891","GO:0005737;GO:0016192;GO:0032991",441
"14"," AP-4 complex subunit sigma-1-like","evm.model.Contig53.87",10.0187264797562,10.0740259316402,9.97047520178862,10.0336557993399,1.00551960890396,1.00081267438879,"threshold likely","XM_022474615.1","LOC111128770","crg:105340100","GO:0005737;GO:0016192;GO:0032991",139
"15"," aquaporin-5-like","evm.model.Contig155.63",10.172073828278,10.3020674158497,9.8963292157345,10.2815994682734,1.01277945773558,1.02582118360589,"threshold likely","XM_022482403.1","LOC111133764","crg:105336510","GO:0005575;GO:0022857",318
"16"," arylsulfatase-like","evm.model.Contig79.221",10.2437557356402,10.2503188021191,10.2045093463709,10.2803022784479,1.00064068947448,1.00678236115535,"threshold likely","XM_022479483.1","LOC111131781","crg:105345207","GO:0003674",574
"17"," ATP synthase mitochondrial F1 complex assembly factor 2-like","evm.model.Contig1565.4",10.0279972051805,10.0496475619645,10.0595626938896,10.0920516080567,1.0021589911067,1.00106835704309,"threshold likely","XM_022458560.1","LOC111118872","crg:105345924","GO:0065003",283
"18"," baculoviral IAP repeat-containing protein 2-like","evm.model.Contig1541.18",11.6937313593253,11.7345206907938,11.5096335674226,11.7322103145546,1.00348813652505,1.0157950681482,"threshold likely","XM_022435637.1","LOC111102770","crg:105325768","",861
"19"," baculoviral IAP repeat-containing protein 2-like","evm.model.Contig646.19",10.1511516081486,10.412844005842,10.1160517284927,10.4250812404493,1.02577957731252,1.00464900468122,"threshold likely","XM_022436707.1","LOC111103428","crg:105340852","",321
"20"," baculoviral IAP repeat-containing protein 3-like","evm.model.Contig127.24",9.95847025649126,9.97150257773974,9.99835361716559,10.3461087600471,1.00130866698527,1.03342882642513,"threshold likely","XM_022439328.1","LOC111105157","crg:105318274","",445
"21"," baculoviral IAP repeat-containing protein 3-like","evm.model.Contig851.16",9.95532426090827,10.5197671559902,10.1340123308459,10.8529237797785,1.05669759018281,1.0134786577219,"threshold likely","XM_022432394.1","LOC111100471","crg:105334814","",858
"22"," baculoviral IAP repeat-containing protein 7-like","evm.model.Contig646.20",11.0326189182411,11.0505319048509,10.9815156369901,11.3429219031954,1.00162363866118,1.03123606292417,"threshold likely","XM_022432289.1","LOC111100417","crg:105331466","",630
"23"," beta-1,3-galactosyltransferase 1-like","evm.model.Contig125.6",10.2124379757025,10.4400178921144,10.1085138447879,10.4293183629253,1.02228458248201,1.00924545784999,"threshold likely","XM_022468827.1","LOC111125242","crg:105317388","GO:0005575;GO:0006464;GO:0009058;GO:0016757",404
"24"," beta-1,3-galactosyltransferase 1-like","evm.model.Contig179.24.1",9.94770039079091,10.072806821047,9.80478984056965,10.2070959942022,1.01257641719607,1.02810175714138,"threshold likely","XM_022431169.1","LOC111099740","crg:105327316","GO:0005575;GO:0006464;GO:0009058;GO:0016757",302
"25"," beta-1,3-galactosyltransferase 1-like","evm.model.Contig909.19",10.9889473103775,11.1284424696067,11.0397506611239,11.2100716942648,1.01269413304926,1.00269957642349,"threshold likely","XM_022469711.1","LOC111125669","crg:105336262","GO:0005575;GO:0006464;GO:0009058;GO:0016757",404
"26"," bone morphogenetic protein 2-like","evm.model.Contig117.158",10.8039447216417,10.9690143428611,10.8854958818471,11.0918046377652,1.01527864363178,1.00361869577718,"threshold likely","XM_022477988.1","LOC111130759","crg:105333366","GO:0003674;GO:0007165;GO:0008283;GO:0040007",423
"27"," BTB/POZ domain-containing protein 6-like","evm.model.Contig155.42",10.374812640992,10.4799853070109,10.3370368181983,10.5033880745448,1.01013730750215,1.0058956673173,"threshold likely","XM_022481223.1","LOC111133125","crg:105333931","GO:0003674",458
"28"," calcium/calmodulin-dependent protein kinase kinase 1-like","evm.model.Contig1113.5.1",10.5699979567417,10.6732251209515,10.5751416571737,10.717627915117,1.00976605337412,1.00367178510962,"threshold likely","XM_022481430.1","LOC111133239","crg:105335602","GO:0006464;GO:0016301;GO:0043167",613
"29"," calmodulin-A-like","evm.model.Contig284.89",11.0249736084461,11.0862616126478,11.0937524843067,11.1814198256915,1.0055590159558,1.00233043558347,"threshold likely","XM_022450988.1","LOC111113021","crg:105332960","GO:0043167",159
