"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 26S proteasome non-ATPase regulatory subunit 1-like","rna-XM_069249141.1",12.4852530348999,12.5131265598256,12.4765726072688,12.6051737181596,1.00223251582069,1.00805690393867,"activated","XM_022488197.1","LOC111136988","crg:105330688","GO:0005622;GO:0009056;GO:0030234;GO:0032991",983
"2"," 3-ketoacyl-CoA thiolase, mitochondrial-like","rna-XM_069276938.1",11.9384263513803,11.9992968575365,11.9247165002293,12.0702323956465,1.00509870433209,1.00706813823751,"activated","XM_022473280.1","LOC111127947","crg:105320064","GO:0016746",400
"3"," 39S ribosomal protein L30, mitochondrial-like","rna-XM_069274031.1",11.496797148582,11.5019030825608,11.5104632970352,11.53035925351,1.0004441179498,1.0012838223648,"activated","XM_022470085.1","LOC111125877","crg:105327405","GO:0003735;GO:0005840;GO:0006412;GO:0042254",246
"4"," adenylate kinase 8-like","rna-XM_069265660.1",11.8605386800173,11.9057602749273,11.8626319001545,11.932731443082,1.00381277749097,1.00208853345204,"activated","XM_022468532.1","LOC111125074","crg:105347819","GO:0016301;GO:0034641;GO:0043167;GO:0044281",490
"5"," aldose reductase-related protein 1-like","rna-XM_069276549.1",11.3008418732282,11.3395480281425,11.4384041793501,11.4902492308222,1.00342506826912,1.00110369386391,"activated","XM_022471284.1","LOC111126558","crg:105330016","",347
"6"," alpha-L-fucosidase-like","rna-XM_069268993.1",11.7746345060234,11.8250847288549,11.639909765314,11.7816888272422,1.00428465298059,1.00786208691021,"activated","XM_022459620.1","LOC111119431","crg:105322568","GO:0005975;GO:0016798;GO:0044281",462
"7"," anaphase-promoting complex subunit 2-like","rna-XM_069265693.1",11.3458333024839,11.3707707957062,11.2081550394472,11.3348590237015,1.00219794285333,1.0090867095957,"activated","XM_022464622.1","LOC111122738","crg:105339470","GO:0009056;GO:0019899",775
"8"," angiotensin-converting enzyme-like","rna-XM_069264253.1",11.2832735816373,11.324882460804,11.262951935327,11.3869657530333,1.00368766022251,1.00729620778664,"activated","XM_022488927.1","LOC111137463","crg:105337281","GO:0005575;GO:0008233",629
"9"," ankyrin repeat domain-containing protein 54-like","rna-XM_069264675.1",11.4854804302322,11.4855244617091,11.5116699454908,11.5128788867515,1.00000383366435,1.00010118470404,"activated","XM_022472871.1","LOC111127614","crg:105338463","GO:0003674",226
"10"," annexin A7-like","rna-XM_069268128.1",12.8174117370547,12.822540770864,12.7546348132852,12.8965886339711,1.00040016142997,1.01072513401073,"activated","XM_022461364.1","LOC111120559","crg:105335793","GO:0008289;GO:0043167",327
"11"," AP-1 complex subunit beta-1-like","rna-XM_069280045.1",12.219627961847,12.2832114489397,12.1947909187426,12.2594985708319,1.00520338976696,1.00010224969358,"activated","XM_022488524.1","LOC111137183","crg:105331028","GO:0003674;GO:0005737;GO:0016192;GO:0032991",932
"12"," apoptosis inhibitor 5-like","rna-XM_069278058.1",12.097629532539,12.1032855735771,12.0707199601787,12.1300633154032,1.00046753300081,1.00444669421013,"activated","XM_022479670.1","LOC111132033","crg:105319023","",528
"13"," ATP-binding cassette sub-family D member 3-like","rna-XM_069272222.1",11.6115652940303,11.6696134873688,11.6164748251831,11.6821516581492,1.00499917038475,1.00065133967757,"activated","XM_022463275.1","LOC111121838","crg:105341323","GO:0005777;GO:0016887;GO:0022857;GO:0043167",657
"14"," b(0,+)-type amino acid transporter 1-like","rna-XM_069257167.1",11.1950900563365,11.3316735868482,11.2988939515786,11.9744729906533,1.01220030654728,1.04701767154307,"activated","XM_022488712.1","LOC111137299","crg:105321809","GO:0005575;GO:0022857",499
"15"," Bardet-Biedl syndrome 5 protein homolog","rna-XM_069254711.1",11.678271823436,11.7282718265462,11.6954637730904,11.7606931254886,1.00428145566966,1.00129034051178,"activated","XM_022480652.1","LOC111132810","crg:105344983","GO:0005623;GO:0005929;GO:0032991",340
"16"," beta-1,3-galactosyltransferase brn-like","rna-XM_069247135.1",11.4385409224965,11.6324851390491,11.199878268434,11.6509876609563,1.01695532829464,1.02293388231186,"activated","XM_022479533.1","LOC111131816","crg:109620855","GO:0005575;GO:0006464;GO:0009058;GO:0016757",387
"17"," beta-1,3-galactosyltransferase brn-like","rna-XM_069271602.1",11.4617970814853,11.4804709201094,11.4704044783611,11.5088712603422,1.00162922432594,1.00172153895108,"activated","XM_022485057.1","LOC111135186","crg:105334278","GO:0005575;GO:0006464;GO:0009058;GO:0016757",360
"18"," cadherin-23-like","rna-XM_069266922.1",12.5934614265385,12.6677771897089,12.5207027106469,12.606710832186,1.005901138746,1.00096245439497,"activated","XM_022463752.1","LOC111122158","crg:105335506","GO:0005886;GO:0007155;GO:0043167",1839
