"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 3-ketoacyl-CoA thiolase, mitochondrial-like","rna-XM_069276938.1",11.9384263513803,11.9992968575365,11.9247165002293,12.0702323956465,1.00509870433209,1.00706813823751,"activated","XM_022473280.1","LOC111127947","crg:105320064","GO:0016746",400
"2"," adenylate kinase 8-like","rna-XM_069265660.1",11.8605386800173,11.9057602749273,11.8626319001545,11.932731443082,1.00381277749097,1.00208853345204,"activated","XM_022468532.1","LOC111125074","crg:105347819","GO:0016301;GO:0034641;GO:0043167;GO:0044281",490
"3"," ankyrin repeat domain-containing protein 54-like","rna-XM_069264675.1",11.4854804302322,11.4855244617091,11.5116699454908,11.5128788867515,1.00000383366435,1.00010118470404,"activated","XM_022472871.1","LOC111127614","crg:105338463","GO:0003674",226
"4"," ATP-binding cassette sub-family D member 3-like","rna-XM_069272222.1",11.6115652940303,11.6696134873688,11.6164748251831,11.6821516581492,1.00499917038475,1.00065133967757,"activated","XM_022463275.1","LOC111121838","crg:105341323","GO:0005777;GO:0016887;GO:0022857;GO:0043167",657
"5"," beta-1,3-galactosyltransferase brn-like","rna-XM_069271602.1",11.4617970814853,11.4804709201094,11.4704044783611,11.5088712603422,1.00162922432594,1.00172153895108,"activated","XM_022485057.1","LOC111135186","crg:105334278","GO:0005575;GO:0006464;GO:0009058;GO:0016757",360
"6"," cadherin-23-like","rna-XM_069266922.1",12.5934614265385,12.6677771897089,12.5207027106469,12.606710832186,1.005901138746,1.00096245439497,"activated","XM_022463752.1","LOC111122158","crg:105335506","GO:0005886;GO:0007155;GO:0043167",1839
"7"," caltractin-like","rna-XM_069250346.1",11.54809883387,11.6099690244927,11.5010297918082,11.5853059797155,1.00535760833994,1.00195960087682,"activated","XM_022463696.1","LOC111122110","crg:105347389","GO:0043167",158
"8"," carnitine O-palmitoyltransferase 1, liver isoform-like","rna-XM_069282195.1",11.288472365697,11.4979014739698,11.251258384215,11.4836450055738,1.01855247561302,1.00206351924898,"activated","XM_022437611.1","LOC111103956","crg:105328226","GO:0016746",766
"9"," collagen alpha-1(I) chain-like","rna-XM_069251479.1",11.7329187008149,11.8284219813763,11.6864777643235,11.8055007350055,1.008139771782,1.00202839195071,"activated","XM_022469967.1","LOC111125811","crg:105339436","GO:0005198;GO:0007155;GO:0031012",1284
"10"," dentin sialophosphoprotein-like","rna-XM_069279109.1",11.7502937122023,11.8267831471026,11.7980582862859,11.8789250410855,1.00650957642198,1.00034243715015,"activated","XM_022484562.1","LOC111134953","crg:105318652","",676
