"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 3-hydroxybutyrate dehydrogenase type 2-like","evm.model.Contig0.76",10.0746739542729,9.94313878483846,10.1587115258108,10.0940965389792,1.01322873715038,0.993261667474475,"frontloaded","XM_022437637.1","LOC111103968","crg:105320965","GO:0016491",246
"2"," 39S ribosomal protein L42, mitochondrial-like","evm.model.Contig416.54",10.0788087075787,10.0225094039716,10.0606715280196,10.0453088606328,1.00561728618432,0.99593488620801,"frontloaded","XM_022445582.1","LOC111109464","crg:105317253","",146
"3"," 39S ribosomal protein L46, mitochondrial-like","evm.model.Contig627.14",10.1630141359519,10.0936104255089,10.0429166385092,10.0900425619669,1.00687600447384,0.988532309786973,"frontloaded","XM_022444817.1","LOC111108756","crg:105329047","GO:0003735;GO:0005840;GO:0042254",292
"4"," 40S ribosomal protein S5","evm.model.Contig271.62",12.7721697871469,12.5899422348764,12.8191566273839,12.6701187439853,1.01447405785276,0.997327566017383,"frontloaded","XM_022469477.1","LOC111125548","crg:105347828","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254",204
"5"," 40S ribosomal protein S5","evm.model.Contig32087.1",11.8345046795289,11.6859724449575,11.863691761717,11.7211253819194,1.01271030162625,0.999459763875851,"frontloaded","XM_022469477.1","LOC111125548","crg:105347828","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254",204
"6"," 5-hydroxytryptamine receptor 4-like","evm.model.Contig343.27",10.1584807951592,10.0018052692168,10.0885208564964,10.016473989212,1.01566472468971,0.991658775550955,"frontloaded","XM_022485359.1","LOC111135363","crg:105330597","GO:0003674;GO:0005886;GO:0007165;GO:0007267",379
"7"," 60 kDa SS-A/Ro ribonucleoprotein-like","evm.model.Contig74.228",12.4864984174817,12.1727850853962,12.4878767068441,12.2454124255846,1.02577169726441,0.994178744106649,"frontloaded","XM_022459905.1","LOC111119592","crg:105348950","GO:0003723",577
"8"," 60S acidic ribosomal protein P1-like","evm.model.Contig324.55",13.7643800774011,13.5845628870252,13.772013103368,13.6078756544343,1.01323687717238,0.998840417172959,"frontloaded","XM_022453199.1","LOC111114718","crg:105329912","GO:0003735;GO:0005840;GO:0006412;GO:0042254",113
"9"," 60S ribosomal protein L15-like","evm.model.Contig417.18",12.9965657603524,12.7399247109453,13.1795078390353,12.983336767759,1.02014462842049,0.995064249933828,"frontloaded","XM_022480126.1","LOC111132297","crg:105319021","GO:0003735;GO:0005840;GO:0006412;GO:0042254",204
"10"," 60S ribosomal protein L4-like","evm.model.Contig687.23",14.0124891409418,13.8269544067979,13.9598734227801,13.788618177899,1.01341833701663,0.99901492508053,"frontloaded","XM_022476789.1","LOC111130094","crg:105330130","GO:0003735;GO:0005840;GO:0006412;GO:0042254",381
