"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like","evm.model.Contig223.93",10.2622217564615,10.3887981186847,10.4581987474572,10.5235399563222,1.01233420649321,0.993987794681829,"frontloaded","XM_022437615.1","LOC111103958","crg:105348639","GO:0003674",322
"2"," 26S proteasome non-ATPase regulatory subunit 1-like","evm.model.Contig632.32_evm.model.Contig632.37",11.7794295494523,11.9433758943667,11.7503146220574,11.8074468956634,1.01391802075186,0.991068479304775,"frontloaded","XM_022488197.1","LOC111136988","crg:105330688","GO:0005622;GO:0009056;GO:0030234;GO:0032991",983
"3"," 26S proteasome non-ATPase regulatory subunit 14","evm.model.Contig141.73",11.0328914625065,11.1881741169161,11.039349736851,11.0848913846664,1.01407452025948,0.990188957701045,"frontloaded","XM_022443918.1","LOC111108200","crg:105329473;crg:105338045","GO:0003674",311
"4"," 3-ketoacyl-CoA thiolase, mitochondrial-like","evm.model.Contig82.108",10.9350939247625,11.1397388133857,10.9186135995421,11.0386332860391,1.01871450670943,0.992419566710152,"frontloaded","XM_022473280.1","LOC111127947","crg:105320064","GO:0016746",400
"5"," 33 kDa inner dynein arm light chain, axonemal-like","evm.model.Contig1021.15",12.1389064476137,12.2764448767643,12.2806855075388,12.4093860688135,1.01133038052021,0.999159064312269,"frontloaded","XM_022488315.1","LOC111137068","crg:105333630","",257
"6"," 39S ribosomal protein L11, mitochondrial-like","evm.model.Contig53.28",9.97610656439495,10.0852042977793,9.94244200160732,10.0217842687736,1.01093590296777,0.997076230011156,"frontloaded","XM_022477994.1","LOC111130763","crg:105319619","GO:0003735;GO:0005840;GO:0006412;GO:0042254",200
"7"," 39S ribosomal protein L30, mitochondrial-like","evm.model.Contig224.62",10.2217464869707,10.2747918553455,10.2462509214082,10.2277346499442,1.00518946233331,0.993039532261774,"frontloaded","XM_022470085.1","LOC111125877","crg:105327405","GO:0003735;GO:0005840;GO:0006412;GO:0042254",246
"8"," 39S ribosomal protein L43, mitochondrial-like","evm.model.Contig928.49",9.81200539961255,9.84609078738019,10.0034107367944,10.0059949244745,1.00347384519061,0.996795616998095,"frontloaded","XM_022487843.1","LOC111136749","crg:105321424","GO:0003735;GO:0005840;GO:0006412;GO:0042254",190
"9"," 46 kDa FK506-binding nuclear protein-like","evm.model.Contig1235.4",10.7577389007235,10.8963079362994,10.6650778761446,10.6971118168734,1.01288086993509,0.990248368888162,"frontloaded","XM_022479280.1","LOC111131654","crg:105347538","",439
"10"," A disintegrin and metalloproteinase with thrombospondin motifs gon-1-like","evm.model.Contig57.130",9.96994009665509,10.1730235040994,10.1085461689936,10.120548182558,1.02036957147941,0.981200676213225,"frontloaded","XM_022434292.1","LOC111101710","crg:105326325","GO:0008233",1042
"11"," acylamino-acid-releasing enzyme-like","evm.model.Contig347.73",9.70384901553401,9.96366077796881,9.66031242291663,9.8980097777099,1.02677409366313,0.997888008628699,"frontloaded","XM_022445579.1","LOC111109462","crg:105317255;crg:105329391","GO:0008233",709
"12"," adenylate kinase 7-like","evm.model.Contig132.129",11.728673847061,11.9119788659444,11.7695328861032,11.9232686562835,1.01562879326969,0.997472883623293,"frontloaded","XM_022477192.1","LOC111130301","crg:105348169","GO:0016301;GO:0034641;GO:0043167;GO:0044281",704
"13"," adenylate kinase 9-like","evm.model.Contig429.53",11.7232121902421,11.9698225768581,11.900893719403,12.0204008843813,1.02103607634273,0.989232298583197,"frontloaded","XM_022437003.1","LOC111103614","crg:105318231","GO:0016301;GO:0034641;GO:0043167",1983
"14"," adenylate kinase isoenzyme 5-like","evm.model.Contig313.80",11.3694916116524,11.5551019613005,11.5162456326566,11.6742058341822,1.01632529896569,0.997432902851006,"frontloaded","XM_022465618.1","LOC111123342","crg:105334927","GO:0016301;GO:0034641;GO:0043167",994
"15"," adenylate kinase isoenzyme 5-like","evm.model.Contig313.81",9.77865728261175,9.95150204885509,9.89412610636444,9.9683346181211,1.01767571571924,0.990001278186729,"frontloaded","XM_022465618.1","LOC111123342","crg:105334927","GO:0016301;GO:0034641;GO:0043167",994
"16"," alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like","evm.model.Contig1165.4",10.4440146109986,10.6271804962595,10.697598507811,10.7475371111538,1.01753788098573,0.987352142549336,"frontloaded","XM_022489837.1","LOC111138032","crg:105342679","",498
"17"," amyloid protein-binding protein 2-like","evm.model.Contig420.80",10.0228491480522,10.429589217951,10.3393310845449,10.4598258349205,1.04058128221733,0.972200860489986,"frontloaded","XM_022460349.1","LOC111119832","crg:105324652","GO:0003674;GO:0008219",797
"18"," anaphase-promoting complex subunit 10-like","evm.model.Contig739.19",9.98630423762698,10.0307297364402,10.040959192604,9.92735204220023,1.00444864263657,0.984306798523608,"frontloaded","XM_022469831.1","LOC111125748","crg:105331482","GO:0005634;GO:0009056;GO:0032991",185
"19"," ankyrin repeat domain-containing protein 54-like","evm.model.Contig466.20",10.2023541067684,10.2471019750411,10.2461079325154,10.2007264422493,1.00438603363542,0.991223316919146,"frontloaded","XM_022472871.1","LOC111127614","crg:105338463","GO:0003674",226
"20"," AP-4 complex subunit beta-1-like","evm.model.Contig1341.11",9.74330923713231,9.77112124120387,10.1659577674331,9.84990762656775,1.00285447206844,0.966153076156728,"frontloaded","XM_022457919.1","LOC111118438","crg:105341710","GO:0003674;GO:0005737;GO:0016192;GO:0032991",537
"21"," armadillo repeat-containing protein 3-like","evm.model.Contig133.66",11.0831284513511,11.3315402875449,11.2368476761535,11.3172019697263,1.02241351232951,0.985072039724848,"frontloaded","XM_022469821.1","LOC111125740","crg:105327398","GO:0003674",905
"22"," armadillo repeat-containing protein 4-like","evm.model.Contig81.168",11.4502205791099,11.7425772988473,11.6060023695269,11.8568453302867,1.02553284608951,0.996177951201925,"frontloaded","XM_022468145.1","LOC111124887","crg:105345247","GO:0003674",1071
"23"," aspartate aminotransferase, cytoplasmic-like","evm.model.Contig279.12",10.4216799162099,10.5469748936242,10.4480139594483,10.5214841369558,1.01202253172441,0.995068730059895,"frontloaded","XM_022484227.1","LOC111134810","crg:105330192","GO:0006520;GO:0009058;GO:0043167",407
"24"," ataxin-10-like","evm.model.Contig416.43",10.3597370691865,10.4734718809023,10.3927087158026,10.4427926979738,1.01097854230819,0.993907490710436,"frontloaded","XM_022441275.1","LOC111106553","crg:105337728","",479
"25"," ATP-binding cassette sub-family D member 3-like","evm.model.Contig1515.12",10.1261349509483,10.2784291927375,10.108211717105,10.24973700867,1.01503972073519,0.998976691239399,"frontloaded","XM_022463275.1","LOC111121838","crg:105341323","GO:0005777;GO:0016887;GO:0022857;GO:0043167",657
"26"," BAG family molecular chaperone regulator 1-like","evm.model.Contig1017.14",9.89142747349189,10.034282584568,10.0037421691226,10.056854074029,1.01444231497011,0.990996914128575,"frontloaded","XM_022472550.1","LOC111127391","crg:105334567","GO:0003674",206
"27"," beta-1,3-galactosyltransferase brn-like","evm.model.Contig419.75",10.4135206395301,10.5100648591334,10.4402240077893,10.4821017961868,1.00927104511002,0.99478846758863,"frontloaded","XM_022485057.1","LOC111135186","crg:105334278","GO:0005575;GO:0006464;GO:0009058;GO:0016757",360
"28"," biotin--protein ligase-like","evm.model.Contig413.32",9.87542132236785,10.2120235696071,10.2081386787783,10.4010965600022,1.03408484926884,0.98531794338,"frontloaded","XM_022447645.1","LOC111110954","crg:105337108","",331
"29"," bromodomain-containing protein 8-like","evm.model.Contig928.28",10.205867840708,10.3376664237999,10.2983611104095,10.3275491312809,1.01291400056801,0.990048749294773,"frontloaded","XM_022489612.1","LOC111137908","crg:105338645","GO:0000228;GO:0003674;GO:0005654;GO:0032991",674
"30"," BTB/POZ domain-containing protein KCTD6-like","evm.model.Contig1411.24",9.8887205435637,9.92635651426368,9.98872003758897,9.94314712145956,1.00380594946881,0.99166334140665,"frontloaded","XM_022469781.1","LOC111125718","crg:109620773","GO:0003674;GO:0065003",231
"31"," calcyphosin-like protein","evm.model.Contig349.31",10.1567242297646,10.1751138697369,10.1522638233886,10.1485573377263,1.00181058770094,0.997828254861296,"frontloaded","XM_022459392.1","LOC111119327","crg:105348488","GO:0043167",208
"32"," calpain-9-like","evm.model.Contig675.39",10.444443421915,10.5306739972784,10.4339621488723,10.5123956466766,1.00825611972607,0.99926706605664,"frontloaded","XM_022453914.1","LOC111115251","crg:105318780","GO:0005622;GO:0008233",830
"33"," carbohydrate sulfotransferase 11-like","evm.model.Contig227.90",10.2140583653922,10.2968701399311,10.4215594465786,10.4354644255314,1.00810762691738,0.993281098700137,"frontloaded","XM_022435351.1","LOC111102559","crg:105324635","GO:0003674;GO:0005575;GO:0005975;GO:0009058",447
"34"," carbonyl reductase [NADPH] 1-like","evm.model.Contig1579.4",10.0868310835263,10.1789603158443,10.222343787063,10.2756024277165,1.00913361506256,0.996111919620021,"frontloaded","XM_022481927.1","LOC111133483","crg:105340670","GO:0016491",281
"35"," caspase-2-like","evm.model.Contig1408.3",10.9663201628817,11.0818382939568,10.9774763215631,11.0089991702925,1.01053390101322,0.992417565022282,"frontloaded","XM_022489840.1","LOC111138053","crg:105343974","GO:0008219;GO:0008233",427
