"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","Cvirginica_GeneID","Cgigas_KEGGID","Annotation_GO_ID","Cvirginica_length"
"1"," 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like","evm.model.Contig223.93",10.2622217564615,10.5235399563222,10.4581987474572,10.3887981186847,1.0254640959884,0.968697004403641,"frontloaded","XM_022437615.1","LOC111103958","crg:105348639","GO:0003674",322
"2"," 3-hydroxyisobutyrate dehydrogenase, mitochondrial-like","evm.model.Contig231.19",10.3557474038932,10.5048974404288,10.3732047797334,10.3870442792947,1.0144026336988,0.987117072903529,"frontloaded","XM_022466951.1","LOC111124057","crg:105338271","GO:0016491",349
"3"," 33 kDa inner dynein arm light chain, axonemal-like","evm.model.Contig1021.15",12.1389064476137,12.4093860688135,12.2806855075388,12.2764448767643,1.02228204182701,0.977865843413114,"frontloaded","XM_022488315.1","LOC111137068","crg:105333630","",257
"4"," 39S ribosomal protein L43, mitochondrial-like","evm.model.Contig928.49",9.81200539961255,10.0059949244745,10.0034107367944,9.84609078738019,1.0197706296482,0.965190936454049,"frontloaded","XM_022487843.1","LOC111136749","crg:105321424","GO:0003735;GO:0005840;GO:0006412;GO:0042254",190
"5"," A-kinase anchor protein 17A-like","evm.model.Contig1006.19",9.80548903689289,9.97389580158504,9.6538618456328,9.74521900655735,1.01717474407024,0.992418738346244,"frontloaded","XM_022471567.1","LOC111126732","crg:105334149","",593
"6"," A disintegrin and metalloproteinase with thrombospondin motifs gon-1-like","evm.model.Contig57.130",9.96994009665509,10.120548182558,10.1085461689936,10.1730235040994,1.01510621773479,0.991402160466534,"frontloaded","XM_022434292.1","LOC111101710","crg:105326325","GO:0008233",1042
"7"," abnormal spindle-like microcephaly-associated protein homolog","evm.model.Contig1412.12.2",11.1403052320979,11.2719332230163,11.1359946005999,11.2565696028001,1.01181547436772,0.999023564535922,"frontloaded","XM_022470013.1","LOC111125839","crg:105317850","GO:0003674",577
"8"," adenylate kinase 7-like","evm.model.Contig132.129",11.728673847061,11.9232686562835,11.7695328861032,11.9119788659444,1.01659137356533,0.995584822794887,"frontloaded","XM_022477192.1","LOC111130301","crg:105348169","GO:0016301;GO:0034641;GO:0043167;GO:0044281",704
"9"," adenylate kinase 9-like","evm.model.Contig429.53",11.7232121902421,12.0204008843813,11.900893719403,11.9698225768581,1.02535044911893,0.980925016261925,"frontloaded","XM_022437003.1","LOC111103614","crg:105318231","GO:0016301;GO:0034641;GO:0043167",1983
"10"," adenylate kinase isoenzyme 5-like","evm.model.Contig313.80",11.3694916116524,11.6742058341822,11.5162456326566,11.5551019613005,1.02680104202879,0.977184482412763,"frontloaded","XM_022465618.1","LOC111123342","crg:105334927","GO:0016301;GO:0034641;GO:0043167",994
"11"," adenylate kinase isoenzyme 5-like","evm.model.Contig313.81",9.77865728261175,9.9683346181211,9.89412610636444,9.95150204885509,1.01939707365004,0.986660660911247,"frontloaded","XM_022465618.1","LOC111123342","crg:105334927","GO:0016301;GO:0034641;GO:0043167",994
"12"," ADP-ribosylation factor-like protein 3","evm.model.Contig246.17",11.5900528565407,11.6589487988419,11.5448253184603,11.5610815124214,1.00594440276969,0.995490497072844,"frontloaded","XM_022467166.1","LOC111124314","crg:105329638","GO:0043167",238
"13"," ADP-ribosylation factor-like protein 6","evm.model.Contig360.25",10.5608948024169,10.6962999759307,10.5345072748039,10.6299416716475,1.012821373193,0.99628547007869,"frontloaded","XM_022440816.1","LOC111106228","crg:105333845","GO:0043167",188
"14"," ADP-ribosylation factor-like","evm.model.Contig680.29.1",10.2686809996493,10.5306995367403,10.3420409721007,10.283624876424,1.02551627975394,0.96961073056997,"frontloaded","XM_022459790.1","LOC111119545","crg:105338307","GO:0043167",188
"15"," ADP-ribosylation factor 4-like","evm.model.Contig272.3",10.1268020320102,10.2146173615403,10.1418614830231,10.1541319986276,1.00867157561217,0.992602460621018,"frontloaded","XM_022433687.1","LOC111101253","crg:109617057","GO:0043167",236
"16"," alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like","evm.model.Contig1165.4",10.4440146109986,10.7475371111538,10.697598507811,10.6271804962595,1.02906186092804,0.965362178654828,"frontloaded","XM_022489837.1","LOC111138032","crg:105342679","",498
"17"," amyloid protein-binding protein 2-like","evm.model.Contig420.80",10.0228491480522,10.4598258349205,10.3393310845449,10.429589217951,1.04359805085495,0.966588228437252,"frontloaded","XM_022460349.1","LOC111119832","crg:105324652","GO:0003674;GO:0008219",797
"18"," ankyrin repeat and EF-hand domain-containing protein 1-like","evm.model.Contig367.72",10.7973390600932,10.9488288271975,10.8705270074588,10.837999738241,1.01403028711622,0.983212995378183,"frontloaded","XM_022477594.1","LOC111130486","crg:105345890","GO:0043167",784
"19"," AP-4 complex subunit beta-1-like","evm.model.Contig1341.11",9.74330923713231,9.84990762656775,10.1659577674331,9.77112124120387,1.01094067599016,0.950758966410757,"frontloaded","XM_022457919.1","LOC111118438","crg:105341710","GO:0003674;GO:0005737;GO:0016192;GO:0032991",537
"20"," arfaptin-2-like","evm.model.Contig181.12",10.7619074590286,10.9216646129856,10.8151456563538,10.8237893448755,1.01484468757655,0.986159983861245,"frontloaded","XM_022469485.1","LOC111125555","crg:105331149","GO:0003674",357
"21"," armadillo repeat-containing protein 3-like","evm.model.Contig133.66",11.0831284513511,11.3172019697263,11.2368476761535,11.3315402875449,1.02111980560387,0.987569693011656,"frontloaded","XM_022469821.1","LOC111125740","crg:105327398","GO:0003674",905
"22"," armadillo repeat-containing protein 4-like","evm.model.Contig81.168",11.4502205791099,11.8568453302867,11.6060023695269,11.7425772988473,1.03551239457506,0.977069532923557,"frontloaded","XM_022468145.1","LOC111124887","crg:105345247","GO:0003674",1071
"23"," aspartate aminotransferase, cytoplasmic-like","evm.model.Contig279.12",10.4216799162099,10.5214841369558,10.4480139594483,10.5469748936242,1.00957659624439,0.999896144315398,"frontloaded","XM_022484227.1","LOC111134810","crg:105330192","GO:0006520;GO:0009058;GO:0043167",407
"24"," ataxin-10-like","evm.model.Contig416.43",10.3597370691865,10.4427926979738,10.3927087158026,10.4734718809023,1.00801715605644,0.999755937807999,"frontloaded","XM_022441275.1","LOC111106553","crg:105337728","",479
