initial_alias,converted_alias,name,description,namespace
LOC111136635,LOC111136635,LOC111136635,exosome complex exonuclease RRP44-like,ENSG
LOC111126771,LOC111126771,LOC111126771,"far upstream element-binding protein 1-like, transcript variant X2",ENSG
LOC111138166,LOC111138166,LOC111138166,"heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog, transcript variant X2",ENSG
LOC111125369,LOC111125369,LOC111125369,heterogeneous nuclear ribonucleoprotein L-like,ENSG
LOC111120641,LOC111120641,LOC111120641,"luc7-like protein 3, transcript variant X3",ENSG
LOC111125036,LOC111125036,LOC111125036,"pre-mRNA-splicing factor CWC22 homolog, transcript variant X2",ENSG
LOC111121745,LOC111121745,LOC111121745,"putative RNA-binding protein Luc7-like 1, transcript variant X3",ENSG
LOC111136408,LOC111136408,LOC111136408,"RNA-binding motif protein, X-linked 2-like",ENSG
LOC111130462,LOC111130462,LOC111130462,"RNA-binding protein 4.1-like, transcript variant X4",ENSG
LOC111114302,LOC111114302,LOC111114302,RNA-binding protein 45-like,ENSG
LOC111120515,LOC111120515,LOC111120515,"serrate RNA effector molecule homolog, transcript variant X2",ENSG
LOC111119664,LOC111119664,LOC111119664,splicing regulatory glutamine/lysine-rich protein 1-like,ENSG
LOC111118318,LOC111118318,LOC111118318,THO complex subunit 4-like,ENSG
LOC111134616,LOC111134616,LOC111134616,uncharacterized protein DDB_G0284459-like,ENSG
LOC111122023,LOC111122023,LOC111122023,uncharacterized LOC111122023,ENSG
