"","Airradians.TranscriptID","Protein_name","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatioHigh","Frontloaded_criteria"
"1","evm.model.Contig0.229","E3 ubiquitin-protein ligase MIB2-like",11.2679096155951,11.4632760017802,11.2742280895247,11.4476007420657,1.01733829901464,0.998072898378043,"frontloaded"
"2","evm.model.Contig0.67",NA,11.2507099769284,11.3268528128791,11.3511062499366,11.3010359578923,1.00676782497343,0.988896273559965,"frontloaded"
"3","evm.model.Contig0.75","pyridoxal kinase-like",9.77124159598827,9.93108595959054,9.77428244521056,9.87214254420006,1.01635865432576,0.993755495638415,"frontloaded"
"4","evm.model.Contig0.77",NA,10.5481897198763,10.7443982040102,10.6019803545065,10.5496203566052,1.01860115236306,0.976890020127149,"frontloaded"
"5","evm.model.Contig1003.7","DNA ligase 4-like",9.7060334150279,9.88635845229871,9.83080361244621,9.97423960321003,1.0185786540763,0.996084554102969,"frontloaded"
"6","evm.model.Contig1004.5",NA,9.77571486593417,9.89440645776048,10.0523629526743,9.99426225578121,1.01214147440408,0.982293701244908,"frontloaded"
"7","evm.model.Contig1006.43","tripartite motif-containing protein 2-like",9.98581113535257,10.4323091376167,10.6757694933527,10.7283519777934,1.04471324324204,0.961915062459326,"frontloaded"
"8","evm.model.Contig1017.14","BAG family molecular chaperone regulator 1-like",9.89142747349189,10.034282584568,10.0037421691226,10.056854074029,1.01444231497011,0.990996914128575,"frontloaded"
"9","evm.model.Contig1017.27",NA,12.2874018218904,12.5967524269333,12.4684776334443,12.5463468632686,1.02517624226236,0.981533951143048,"frontloaded"
"10","evm.model.Contig1021.15",NA,12.1389064476137,12.2764448767643,12.2806855075388,12.4093860688135,1.01133038052021,0.999159064312269,"frontloaded"
"11","evm.model.Contig104.18","coiled-coil domain-containing protein 40-like",11.1572210530201,11.3252034590213,11.2464420662535,11.3517957269187,1.01505593599006,0.994396167437568,"frontloaded"
"12","evm.model.Contig104.190","U4/U6.U5 tri-snRNP-associated protein 2-like",10.0923708739421,10.1075194285236,10.0269828987051,9.99018051813579,1.0015009906761,0.994836425370554,"frontloaded"
"13","evm.model.Contig1049.19",NA,11.4079836582216,11.631133020907,11.5062719890137,11.6612369981595,1.01956080665706,0.994023962397725,"frontloaded"
"14","evm.model.Contig105.167.1","cilia- and flagella-associated protein 46-like",10.3721514634183,10.5644293331867,10.5968503197188,10.5205046357842,1.01853789644767,0.974726065361246,"frontloaded"
"15","evm.model.Contig106.113","DNA excision repair protein ERCC-1-like",10.5774222746291,10.6175825103882,10.6801388937557,10.6729308926676,1.00379678854795,0.995545227589058,"frontloaded"
"16","evm.model.Contig106.120",NA,10.6905464816741,10.7286081239008,10.8284401544008,10.7921550442563,1.00356030838011,0.993113302073905,"frontloaded"
"17","evm.model.Contig1067.14_evm.model.Contig1067.15",NA,9.79426224023961,9.87954786632592,10.2477097188297,10.1296430216516,1.00870771314821,0.979945637982084,"frontloaded"
