"","Cvirginica_TranscriptID","moduleColor","Airradians_TranscriptID","Protein_name","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"1","XM_022430585.1","brown","rna-XM_069283486.1",NA,NA,NA,NA
"2","XM_022430768.1","brown","rna-XM_069283478.1",NA,NA,NA,NA
"3","XM_022430798.1","brown","rna-XM_069276999.1","zinc finger protein Aiolos-like","zinc finger protein Aiolos-like","LOC111099481","cvn:111099481"
"4","XM_022431130.1","brown","rna-XM_069249333.1","matrix metalloproteinase-24-like","matrix metalloproteinase-24-like","LOC111099717","cvn:111099717"
"5","XM_022431137.1","brown","rna-XM_069250233.1","MAM and LDL-receptor class A domain-containing protein 1-like","MAM and LDL-receptor class A domain-containing protein 1-like","LOC111099722","cvn:111099722"
"6","XM_022431335.1","brown","rna-XM_069284185.1",NA,NA,NA,NA
"7","XM_022431634.1","brown","rna-XM_069277689.1","carbohydrate sulfotransferase 8-like","carbohydrate sulfotransferase 8-like","LOC111100046","cvn:111100046"
"8","XM_022431644.1","brown","rna-XM_069264940.1","deleted in malignant brain tumors 1 protein-like","deleted in malignant brain tumors 1 protein-like","LOC111100053","cvn:111100053"
"9","XM_022431838.1","brown","rna-XM_069248937.1","pseudouridine-5'-phosphatase-like","pseudouridine-5'-phosphatase-like","LOC111100187","cvn:111100187"
"10","XM_022431985.1","brown","rna-XM_069275508.1","unconventional myosin-VI-like","unconventional myosin-VI-like","LOC111100288","cvn:111100288"
"11","XM_022432036.1","brown","rna-XM_069264179.1",NA,NA,NA,NA
"12","XM_022432036.1","brown","rna-XM_069264178.1",NA,NA,NA,NA
"13","XM_022432041.1","brown","rna-XM_069285829.1","poly [ADP-ribose] polymerase 4-like","poly [ADP-ribose] polymerase 4-like","LOC111100311","cvn:111100311"
"14","XM_022432059.1","brown","rna-XM_069267536.1",NA,NA,NA,NA
"15","XM_022432119.1","brown","rna-XM_069255338.1","probable phosphoglycerate mutase","probable phosphoglycerate mutase","LOC111100351","cvn:111100351"
