"","Cvirginica_TranscriptID","moduleColor","Airradians_TranscriptID","Protein_name","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"1","XM_022431015.1","black","rna-XM_069284082.1","glycoprotein 3-alpha-L-fucosyltransferase A-like","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111099650","cvn:111099650"
"2","XM_022431027.1","black","rna-XM_069282011.1","cytoplasmic tRNA 2-thiolation protein 1-like","cytoplasmic tRNA 2-thiolation protein 1-like","LOC111099660","cvn:111099660"
"3","XM_022431436.1","black","rna-XM_069277268.1","HIV Tat-specific factor 1-like","HIV Tat-specific factor 1-like","LOC111099922","cvn:111099922"
"4","XM_022432667.1","black","rna-XM_069249350.1","mediator of RNA polymerase II transcription subunit 4-like","mediator of RNA polymerase II transcription subunit 4-like","LOC111100610","cvn:111100610"
"5","XM_022432795.1","black","rna-XM_069277756.1","40S ribosomal protein S13-like","40S ribosomal protein S13-like","LOC111100708","cvn:111100708"
"6","XM_022433491.1","black","rna-XM_069279332.1","zinc finger protein 593-like","zinc finger protein 593-like","LOC111101149","cvn:111101149"
"7","XM_022433530.1","black","rna-XM_069250137.1","cholecystokinin receptor type A-like","cholecystokinin receptor type A-like","LOC111101147","cvn:111101147"
"8","XM_022433852.1","black","rna-XM_069251002.1","calmodulin-like","calmodulin-like","LOC111101379","cvn:111101379"
"9","XM_022434060.1","black","rna-XM_069277577.1","60S ribosomal protein L32-like","60S ribosomal protein L32-like","LOC111101507","cvn:111101507"
"10","XM_022434368.1","black","rna-XM_069281744.1","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","LOC111101764","cvn:111101764"
"11","XM_022434493.1","black","rna-XM_069248726.1","60S ribosomal protein L35a-like","60S ribosomal protein L35a-like","LOC111101860","cvn:111101860"
"12","XM_022434735.1","black","rna-XM_069264233.1","uncharacterized","uncharacterized","LOC111102081","cvn:111102081"
"13","XM_022434796.1","black","rna-XM_069249258.1","acetylcholine receptor subunit alpha-1-A-like","acetylcholine receptor subunit alpha-1-A-like","LOC111102147","cvn:111102147"
"14","XM_022434940.1","black","rna-XM_069275789.1","cytochrome P450 3A24-like","cytochrome P450 3A24-like","LOC111102272","cvn:111102272"
"15","XM_022435081.1","black","rna-XM_069271952.1","40S ribosomal protein S4-like","40S ribosomal protein S4-like","LOC111102380","cvn:111102380"
"16","XM_022435417.1","black","rna-XM_069248863.1","pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1-like","pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1-like","LOC111102601","cvn:111102601"
"17","XM_022435862.1","black","rna-XM_069280802.1","C-Myc-binding protein-like","C-Myc-binding protein-like","LOC111102916","cvn:111102916"
"18","XM_022436139.1","black","rna-XM_069270119.1","60S ribosomal protein L13a-like","60S ribosomal protein L13a-like","LOC111103110","cvn:111103110"
"19","XM_022436472.1","black","rna-XM_069271334.1","sestrin-1-like","sestrin-1-like","LOC111103304","cvn:111103304"
"20","XM_022437089.1","black","rna-XM_069276074.1","hsp90 co-chaperone Cdc37-like","hsp90 co-chaperone Cdc37-like","LOC111103668","cvn:111103668"
"21","XM_022437244.1","black","rna-XM_069268984.1","ubiquitin carboxyl-terminal hydrolase 47-like","ubiquitin carboxyl-terminal hydrolase 47-like","LOC111103780","cvn:111103780"
"22","XM_022437260.1","black","rna-XM_069268759.1","DNA-directed RNA polymerases I, II, and III subunit RPABC2-like","DNA-directed RNA polymerases I, II, and III subunit RPABC2-like","LOC111103789","cvn:111103789"
"23","XM_022437337.1","black","rna-XM_069286070.1","intraflagellar transport protein 88 homolog","intraflagellar transport protein 88 homolog","LOC111103820","cvn:111103820"
"24","XM_022437351.1","black","rna-XM_069275460.1","rho GTPase-activating protein 1-like","rho GTPase-activating protein 1-like","LOC111103824","cvn:111103824"
"25","XM_022437773.1","black","rna-XM_069283934.1","trafficking protein particle complex subunit 3-like","trafficking protein particle complex subunit 3-like","LOC111104059","cvn:111104059"
"26","XM_022437910.1","black","rna-XM_069284999.1","allograft inflammatory factor 1-like","allograft inflammatory factor 1-like","LOC111104126","cvn:111104126"
"27","XM_022438331.1","black","rna-XM_069246540.1","soma ferritin-like","soma ferritin-like","LOC111104407","cvn:111104407"
"28","XM_022438331.1","black","rna-XM_069246528.1","soma ferritin-like","soma ferritin-like","LOC111104407","cvn:111104407"
"29","XM_022439207.1","black","rna-XM_069248423.1","uncharacterized","uncharacterized","LOC111105030","cvn:111105030"
"30","XM_022439392.1","black","rna-XM_069250197.1","uncharacterized","uncharacterized","LOC111105223","cvn:111105223"
"31","XM_022439754.1","black","rna-XM_069264062.1","zinc transporter ZIP10-like","zinc transporter ZIP10-like","LOC111105450","cvn:111105450"
