"","Cvirginica_KEGGID","Type","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Protein_name","Cvirginica_TranscriptID","Airradians_TranscriptID"
"1","cvn:111138187","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111138187",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"ATP synthase lipid-binding protein, mitochondrial-like","XM_022490044.1","rna-XM_069264033.1"
"2","cvn:111138187","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111138187",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"ATP synthase lipid-binding protein, mitochondrial-like","XM_022490044.1","rna-XM_069264032.1"
"3","cvn:111117675","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111117675",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"ATP synthase subunit delta, mitochondrial-like","XM_022456845.1","rna-XM_069272139.1"
"4","cvn:111133037","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111133037",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-like","XM_022481123.1","rna-XM_069264372.1"
"5","cvn:111100768","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111100768",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial-like","XM_022432899.1","rna-XM_069278009.1"
"6","cvn:111121515","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111121515",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7-like","XM_022462820.1","rna-XM_069271211.1"
"7","cvn:111136515","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111136515",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial-like","XM_022487416.1","rna-XM_069256436.1"
"8","cvn:111101764","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111101764",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","XM_022434368.1","rna-XM_069281744.1"
"9","cvn:111129296","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111129296",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH-quinone oxidoreductase subunit B 2-like","XM_022475581.1","rna-XM_069281561.1"
"10","cvn:111138180","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111138180",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"NADH-ubiquinone oxidoreductase subunit 8-like","XM_022490030.1","rna-XM_069280249.1"
"11","cvn:111123623","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111123623",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"V-type proton ATPase 16 kDa proteolipid subunit-like","XM_022466077.1","rna-XM_069273594.1"
"12","cvn:111100677","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111100677",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"V-type proton ATPase subunit E-like","XM_022432764.1","rna-XM_069276401.1"
"13","cvn:111125836","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111125836",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"V-type proton ATPase subunit G-like","XM_022470009.1","rna-XM_069264996.1"
"14","cvn:111137078","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111137078",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"V-type proton ATPase subunit e 2-like","XM_022488328.1","rna-XM_069283415.1"
"15","cvn:111121087","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111121087",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"acyl carrier protein, mitochondrial-like","XM_022462213.1","rna-XM_069267366.1"
"16","cvn:111121087","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111121087",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"acyl carrier protein, mitochondrial-like","XM_022462213.1","rna-XM_069267365.1"
"17","cvn:111118611","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111118611",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"cytochrome b-c1 complex subunit 6, mitochondrial-like","XM_022458163.1","rna-XM_069270311.1"
"18","cvn:111135946","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111135946",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"cytochrome b-c1 complex subunit Rieske, mitochondrial-like","XM_022486436.1","rna-XM_069257503.1"
"19","cvn:111121196","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111121196",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"cytochrome c oxidase subunit 6B-like","XM_022462352.1","rna-XM_069268208.1"
"20","cvn:111112645","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111112645",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"cytochrome c-like","XM_022450308.1","rna-XM_069255255.1"
"21","cvn:111132066","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111132066",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"cytochrome c1-2, heme protein, mitochondrial-like","XM_022479715.1","rna-XM_069256091.1"
"22","cvn:111109666","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111109666",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","XM_022445879.1","rna-XM_069286147.1"
"23","cvn:111126886","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111126886",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5","XM_022471802.1","rna-XM_069245034.1"
"24","cvn:111137688","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111137688",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like","XM_022489273.1","rna-XM_069258427.1"
"25","cvn:111124800","Cohort WGNA modules brown + black","cvn00190","Oxidative phosphorylation",98,23,"111124800",0.23469387755102,6.87724472040439e-09,8.16258552141481,2.46132968940789e-07,"uncharacterized","XM_022467991.1","rna-XM_069252092.1"
"26","cvn:111125990","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111125990",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"26S proteasome complex subunit SEM1-like","XM_022470328.1","rna-XM_069265359.1"
"27","cvn:111130572","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130572",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"26S proteasome non-ATPase regulatory subunit 8-like","XM_022477731.1","rna-XM_069261926.1"
"28","cvn:111122411","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111122411",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"26S proteasome non-ATPase regulatory subunit 9-like","XM_022464201.1","rna-XM_069265497.1"
"29","cvn:111130295","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130295",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"26S proteasome regulatory subunit 10B","XM_022477149.1","rna-XM_069259907.1"
"30","cvn:111130300","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130300",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"26S proteasome regulatory subunit 6B","XM_022477191.1","rna-XM_069260326.1"
"31","cvn:111122853","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111122853",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome maturation protein-like","XM_022464859.1","rna-XM_069274113.1"
"32","cvn:111116995","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111116995",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-2-like","XM_022456059.1","rna-XM_069265362.1"
"33","cvn:111130431","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130431",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-3-like","XM_022477503.1","rna-XM_069260516.1"
"34","cvn:111130431","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130431",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-3-like","XM_022477503.1","rna-XM_069260513.1"
"35","cvn:111130528","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130528",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-4-like","XM_022477676.1","rna-XM_069281087.1"
"36","cvn:111127912","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111127912",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-6-like","XM_022473237.1","rna-XM_069261557.1"
"37","cvn:111133546","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111133546",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit alpha type-7-like","XM_022482017.1","rna-XM_069256063.1"
"38","cvn:111122651","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111122651",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit beta type-1-like","XM_022464503.1","rna-XM_069264655.1"
"39","cvn:111133428","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111133428",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit beta type-6-like","XM_022481852.1","rna-XM_069263076.1"
"40","cvn:111125779","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111125779",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"proteasome subunit beta type-7-like","XM_022469898.1","rna-XM_069263894.1"
"41","cvn:111130532","Cohort WGNA modules brown + black","cvn03050","Proteasome",41,15,"111130532",0.365853658536585,4.42443829592989e-09,8.35414185727406,2.37522476939394e-07,"uncharacterized","XM_022477680.1","rna-XM_069261630.1"
"42","cvn:111126648","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111126648",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"28S ribosomal protein S18a, mitochondrial-like","XM_022471432.1","rna-XM_069259846.1"
"43","cvn:111121432","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111121432",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"28S ribosomal protein S7, mitochondrial-like","XM_022462721.1","rna-XM_069268114.1"
"44","cvn:111127769","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111127769",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"30S ribosomal protein S11-like","XM_022473010.1","rna-XM_069282704.1"
"45","cvn:111130763","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111130763",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L11, mitochondrial-like","XM_022477994.1","rna-XM_069260157.1"
"46","cvn:111137692","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111137692",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L12, mitochondrial-like","XM_022489278.1","rna-XM_069268181.1"
"47","cvn:111121303","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111121303",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L13, mitochondrial-like","XM_022462515.1","rna-XM_069270896.1"
"48","cvn:111128646","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111128646",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L14, mitochondrial-like","XM_022474388.1","rna-XM_069262031.1"
"49","cvn:111119576","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111119576",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L15, mitochondrial-like","XM_022459870.1","rna-XM_069270879.1"
"50","cvn:111134635","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111134635",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L16, mitochondrial-like","XM_022483859.1","rna-XM_069279574.1"
"51","cvn:111133190","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111133190",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L23, mitochondrial-like","XM_022481325.1","rna-XM_069279529.1"
"52","cvn:111133190","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111133190",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L23, mitochondrial-like","XM_022481325.1","rna-XM_069279384.1"
"53","cvn:111124595","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111124595",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L28, mitochondrial-like","XM_022467577.1","rna-XM_069273975.1"
"54","cvn:111125877","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111125877",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L30, mitochondrial-like","XM_022470085.1","rna-XM_069274031.1"
"55","cvn:111133074","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111133074",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L35, mitochondrial-like","XM_022481151.1","rna-XM_069284452.1"
"56","cvn:111131076","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111131076",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"39S ribosomal protein L4, mitochondrial-like","XM_022478417.1","rna-XM_069262331.1"
"57","cvn:111114067","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111114067",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S11-like","XM_022452387.1","rna-XM_069276258.1"
"58","cvn:111118248","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118248",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S12-like","XM_022457605.1","rna-XM_069271689.1"
"59","cvn:111100708","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111100708",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S13-like","XM_022432795.1","rna-XM_069277756.1"
"60","cvn:111120557","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111120557",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S14","XM_022461359.1","rna-XM_069267187.1"
"61","cvn:111128580","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111128580",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S15-like","XM_022474258.1","rna-XM_069280578.1"
"62","cvn:111118348","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111118348",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S15Aa","XM_022457754.1","rna-XM_069267807.1"
"63","cvn:111127638","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111127638",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S16","XM_022472901.1","rna-XM_069276653.1"
"64","cvn:111126281","Cohort WGNA modules brown + black","cvn03010","Ribosome",137,76,"111126281",0.554744525547445,1.50485199654529e-59,58.822506211196,1.61573582786968e-57,"40S ribosomal protein S18","XM_022470798.1","rna-XM_069266006.1"
