initial_alias,converted_alias,name,description,namespace
LOC111099580,LOC111099580,LOC111099580,"cat eye syndrome critical region protein 2-like, transcript variant X3",ENSG
LOC111100269,LOC111100269,LOC111100269,uncharacterized LOC111100269,ENSG
LOC111100540,LOC111100540,LOC111100540,"dynein assembly factor with WDR repeat domains 1-like, transcript variant X2",ENSG
LOC111100645,LOC111100645,LOC111100645,intraflagellar transport protein 81 homolog,ENSG
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111101703,LOC111101703,LOC111101703,uncharacterized LOC111101703,ENSG
LOC111101808,LOC111101808,LOC111101808,"IQ domain-containing protein G-like, transcript variant X1",ENSG
LOC111103039,LOC111103039,LOC111103039,"uncharacterized LOC111103039, transcript variant X2",ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103429,LOC111103429,LOC111103429,cleavage stimulation factor subunit 3-like,ENSG
LOC111103452,LOC111103452,LOC111103452,"alpha-taxilin-like, transcript variant X1",ENSG
LOC111103635,LOC111103635,LOC111103635,"lysine-specific histone demethylase 1A-like, transcript variant X4",ENSG
LOC111103820,LOC111103820,LOC111103820,"intraflagellar transport protein 88 homolog, transcript variant X2",ENSG
LOC111103866,LOC111103866,LOC111103866,titin homolog,ENSG
LOC111104021,LOC111104021,LOC111104021,"armadillo repeat-containing protein 2-like, transcript variant X2",ENSG
LOC111104125,LOC111104125,LOC111104125,translation initiation factor IF-2-like,ENSG
LOC111104626,LOC111104626,LOC111104626,"uncharacterized LOC111104626, transcript variant X1",ENSG
LOC111104824,LOC111104824,LOC111104824,"E3 ubiquitin-protein ligase TRIM33-like, transcript variant X2",ENSG
LOC111106010,LOC111106010,LOC111106010,WD40 repeat-containing protein SMU1,ENSG
LOC111106068,LOC111106068,LOC111106068,leucine-rich repeat and guanylate kinase domain-containing protein-like,ENSG
LOC111106392,LOC111106392,LOC111106392,"aminomethyltransferase, mitochondrial-like",ENSG
LOC111107208,LOC111107208,LOC111107208,"IQ and AAA domain-containing protein 1-like, transcript variant X1",ENSG
LOC111107542,LOC111107542,LOC111107542,structural maintenance of chromosomes protein 1A-like,ENSG
LOC111108798,LOC111108798,LOC111108798,intraflagellar transport protein 122 homolog,ENSG
LOC111109886,LOC111109886,LOC111109886,IQ and ubiquitin-like domain-containing protein,ENSG
LOC111112138,LOC111112138,LOC111112138,"toll-like receptor 4, transcript variant X1",ENSG
LOC111112387,LOC111112387,LOC111112387,"dynein assembly factor 1, axonemal-like, transcript variant X2",ENSG
LOC111112439,LOC111112439,LOC111112439,kinesin heavy chain-like,ENSG
LOC111113324,LOC111113324,LOC111113324,uncharacterized LOC111113324,ENSG
