initial_alias,converted_alias,name,description,namespace
LOC111100563,LOC111100563,LOC111100563,microtubule-associated protein 9-like,ENSG
LOC111100645,LOC111100645,LOC111100645,intraflagellar transport protein 81 homolog,ENSG
LOC111101168,LOC111101168,LOC111101168,"coiled-coil domain-containing protein 39-like, transcript variant X2",ENSG
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103866,LOC111103866,LOC111103866,titin homolog,ENSG
LOC111110718,LOC111110718,LOC111110718,"cilia- and flagella-associated protein 221-like, transcript variant X2",ENSG
LOC111112439,LOC111112439,LOC111112439,kinesin heavy chain-like,ENSG
LOC111119280,LOC111119280,LOC111119280,coiled-coil domain-containing protein 40-like,ENSG
LOC111121925,LOC111121925,LOC111121925,intraflagellar transport protein 74 homolog,ENSG
LOC111122805,LOC111122805,LOC111122805,"kinesin-like protein KIF9, transcript variant X1",ENSG
LOC111123746,LOC111123746,LOC111123746,tubulin beta chain-like,ENSG
LOC111124399,LOC111124399,LOC111124399,"dynein assembly factor 3, axonemal-like",ENSG
LOC111124684,LOC111124684,LOC111124684,"kinesin-like protein KIF28P, transcript variant X1",ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111129389,LOC111129389,LOC111129389,dynein regulatory complex protein 1-like,ENSG
LOC111130400,LOC111130400,LOC111130400,"cytoplasmic dynein 2 light intermediate chain 1-like, transcript variant X1",ENSG
LOC111136516,LOC111136516,LOC111136516,"WD repeat-containing protein 60-like, transcript variant X4",ENSG
LOC111136780,LOC111136780,LOC111136780,"gamma-tubulin complex component 6-like, transcript variant X1",ENSG
LOC111138395,LOC111138395,LOC111138395,"coiled-coil domain-containing protein 65-like, transcript variant X1",ENSG
