initial_alias,converted_alias,name,description,namespace
LOC111101253,LOC111101253,LOC111101253,ADP-ribosylation factor 4-like,ENSG
LOC111101291,LOC111101291,LOC111101291,dnaJ homolog subfamily C member 27-like,ENSG
LOC111101424,LOC111101424,LOC111101424,"dynein gamma chain, flagellar outer arm-like, transcript variant X3",ENSG
LOC111103394,LOC111103394,LOC111103394,"dynein heavy chain 5, axonemal-like, transcript variant X2",ENSG
LOC111103614,LOC111103614,LOC111103614,adenylate kinase 9-like,ENSG
LOC111103635,LOC111103635,LOC111103635,"lysine-specific histone demethylase 1A-like, transcript variant X4",ENSG
LOC111103866,LOC111103866,LOC111103866,titin homolog,ENSG
LOC111104253,LOC111104253,LOC111104253,"tryptophan--tRNA ligase, mitochondrial-like",ENSG
LOC111106228,LOC111106228,LOC111106228,"ADP-ribosylation factor-like protein 6, transcript variant X1",ENSG
LOC111107113,LOC111107113,LOC111107113,dual specificity tyrosine-phosphorylation-regulated kinase 2-like,ENSG
LOC111107208,LOC111107208,LOC111107208,"IQ and AAA domain-containing protein 1-like, transcript variant X1",ENSG
LOC111107542,LOC111107542,LOC111107542,structural maintenance of chromosomes protein 1A-like,ENSG
LOC111108651,LOC111108651,LOC111108651,mitogen-activated protein kinase 14A-like,ENSG
LOC111112439,LOC111112439,LOC111112439,kinesin heavy chain-like,ENSG
LOC111114899,LOC111114899,LOC111114899,"methylmalonyl-CoA mutase, mitochondrial-like, transcript variant X3",ENSG
LOC111119072,LOC111119072,LOC111119072,"tyrosine-protein kinase SRK2-like, transcript variant X4",ENSG
LOC111119284,LOC111119284,LOC111119284,"acetyl-coenzyme A synthetase, cytoplasmic-like",ENSG
LOC111119545,LOC111119545,LOC111119545,ADP-ribosylation factor-like,ENSG
LOC111119582,LOC111119582,LOC111119582,"GTPase IMAP family member 4-like, transcript variant X4",ENSG
LOC111121274,LOC111121274,LOC111121274,uncharacterized LOC111121274,ENSG
LOC111122805,LOC111122805,LOC111122805,"kinesin-like protein KIF9, transcript variant X1",ENSG
LOC111123066,LOC111123066,LOC111123066,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5-like,ENSG
LOC111123162,LOC111123162,LOC111123162,helicase SKI2W-like,ENSG
LOC111123621,LOC111123621,LOC111123621,"heat shock protein 75 kDa, mitochondrial-like",ENSG
LOC111123746,LOC111123746,LOC111123746,tubulin beta chain-like,ENSG
LOC111123809,LOC111123809,LOC111123809,putative oxidoreductase GLYR1,ENSG
LOC111123900,LOC111123900,LOC111123900,valine--tRNA ligase-like,ENSG
LOC111124294,LOC111124294,LOC111124294,ATP-dependent DNA helicase Q5-like,ENSG
LOC111124314,LOC111124314,LOC111124314,ADP-ribosylation factor-like protein 3,ENSG
LOC111124543,LOC111124543,LOC111124543,"serine/threonine kinase-like domain-containing protein STKLD1, transcript variant X2",ENSG
LOC111124672,LOC111124672,LOC111124672,serine/threonine-protein kinase DCLK3-like,ENSG
LOC111124684,LOC111124684,LOC111124684,"kinesin-like protein KIF28P, transcript variant X1",ENSG
LOC111124987,LOC111124987,LOC111124987,"transcriptional regulator ATRX-like, transcript variant X1",ENSG
LOC111125129,LOC111125129,LOC111125129,DNA topoisomerase 2-beta-like,ENSG
LOC111125401,LOC111125401,LOC111125401,"cyclin-dependent kinase 7-like, transcript variant X2",ENSG
LOC111125428,LOC111125428,LOC111125428,"cytoplasmic dynein 2 heavy chain 1-like, transcript variant X3",ENSG
LOC111126186,LOC111126186,LOC111126186,putative ATP-dependent RNA helicase me31b,ENSG
LOC111130105,LOC111130105,LOC111130105,bifunctional glutamate/proline--tRNA ligase-like,ENSG
LOC111130166,LOC111130166,LOC111130166,adenylosuccinate synthetase-like,ENSG
LOC111130301,LOC111130301,LOC111130301,adenylate kinase 7-like,ENSG
LOC111130309,LOC111130309,LOC111130309,DNA helicase INO80-like,ENSG
LOC111130627,LOC111130627,LOC111130627,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",ENSG
LOC111132090,LOC111132090,LOC111132090,"glutathione reductase, mitochondrial-like",ENSG
LOC111135147,LOC111135147,LOC111135147,"tyrosine aminotransferase-like, transcript variant X1",ENSG
LOC111135733,LOC111135733,LOC111135733,"alanine--tRNA ligase, cytoplasmic-like",ENSG
LOC111136057,LOC111136057,LOC111136057,nucleoside diphosphate kinase 7-like,ENSG
LOC111136573,LOC111136573,LOC111136573,putative L-aspartate dehydrogenase,ENSG
LOC111137032,LOC111137032,LOC111137032,"cyclin-dependent kinase 11B-like, transcript variant X1",ENSG
LOC111138028,LOC111138028,LOC111138028,"septin-2-like, transcript variant X8",ENSG
